,train_size,train_set_type,loss,accuracy
0,50,diverse,0.43079080156981947,0.86375
1,50,diverse,0.43567249208688735,0.8525
2,50,diverse,0.3630494302138686,0.89
3,50,diverse,0.5318599175661802,0.875
4,50,diverse,0.4309014841914177,0.8425
5,50,diverse,0.3853938590735197,0.895
6,50,diverse,0.419010547529906,0.87875
7,50,diverse,0.39858946327120065,0.8975
8,50,diverse,0.4232232967764139,0.855
9,50,diverse,0.4194508161395788,0.87125
10,50,similar,0.4082545220851898,0.87
11,50,similar,0.604944370239973,0.83375
12,50,similar,0.5516074339300394,0.835
13,50,similar,0.44110393047332763,0.85875
14,50,similar,0.4956443399190903,0.81375
15,50,similar,0.3608517526835203,0.8975
16,50,similar,0.638310218155384,0.7825
17,50,similar,0.5573881927132607,0.82
18,50,similar,0.5339509719982743,0.865
19,50,similar,0.4363589917123318,0.83625
20,50,random,0.2759237863868475,0.9175
21,50,random,0.39200866043567656,0.87125
22,50,random,0.3361471865326166,0.8825
23,50,random,0.292521508783102,0.91
24,50,random,0.3189997933793347,0.8975
25,50,random,0.2895472488552332,0.89875
26,50,random,0.3549772544950247,0.89125
27,50,random,0.4398658325895667,0.8675
28,50,random,0.28499399811029436,0.90375
29,50,random,0.35085748091340063,0.88
0,40,diverse,0.3417318978905678,0.89625
1,40,diverse,0.4082802508771419,0.85
2,40,diverse,0.39400502040982244,0.88375
3,40,diverse,0.36944581001996996,0.89625
4,40,diverse,0.4172857670485973,0.86375
5,40,diverse,0.485876576602459,0.8475
6,40,diverse,0.4063981440663338,0.895
7,40,diverse,0.4148512563109398,0.865
8,40,diverse,0.4105394770205021,0.8625
9,40,diverse,0.5173999419808388,0.84
10,40,similar,0.5172273996472359,0.835
11,40,similar,0.5838963887095452,0.79625
12,40,similar,0.7623498360812664,0.7475
13,40,similar,0.5098368784785271,0.81125
14,40,similar,0.7315344201773405,0.78875
15,40,similar,0.5563810205459595,0.79125
16,40,similar,0.4917264324426651,0.8625
17,40,similar,0.5922651687264442,0.8075
18,40,similar,0.6331982074677944,0.78
19,40,similar,0.4208825356140733,0.855
20,40,random,0.3534560386836529,0.86875
21,40,random,0.43640235118567944,0.84
22,40,random,0.5802488830685616,0.7825
23,40,random,0.3533694112952799,0.8675
24,40,random,0.44763337314128876,0.87625
25,40,random,0.3564803320169449,0.875
26,40,random,0.3456231457740068,0.8725
27,40,random,0.39282672181725503,0.8775
28,40,random,0.32193234369158746,0.88125
29,40,random,0.354440361186862,0.8775
0,30,diverse,0.5024699938297271,0.855
1,30,diverse,0.5122976356744766,0.79375
2,30,diverse,0.3190601670742035,0.89625
3,30,diverse,0.6946647781366483,0.81625
4,30,diverse,0.4337974538654089,0.89125
5,30,diverse,0.38626093581318854,0.8925
6,30,diverse,0.41601200997829435,0.87875
7,30,diverse,0.4614134934684262,0.8775
8,30,diverse,0.4686166149750352,0.86125
9,30,diverse,0.4606459597405046,0.88625
10,30,similar,0.5492006522417069,0.8175
11,30,similar,1.0350292813777924,0.7475
12,30,similar,0.8367011710256338,0.80875
13,30,similar,0.6772599557042122,0.79625
14,30,similar,0.5103144133090973,0.835
15,30,similar,0.7177904236316681,0.785
16,30,similar,0.569031929075718,0.8175
17,30,similar,0.7355124711990356,0.77125
18,30,similar,0.5099361085891724,0.82125
19,30,similar,0.7628673708438873,0.735
20,30,random,0.41528527677059174,0.8675
21,30,random,0.4559769079089165,0.84875
22,30,random,0.47825363725423814,0.84125
23,30,random,0.4904885330796242,0.81
24,30,random,0.5659682509303093,0.7825
25,30,random,0.3679145020246506,0.86
26,30,random,0.434367231503129,0.84125
27,30,random,0.5254484498500824,0.805
28,30,random,0.433116107583046,0.8475
29,30,random,0.39185807675123213,0.86125
0,20,diverse,0.5639289066195488,0.8425
1,20,diverse,0.7076275311410427,0.7775
2,20,diverse,0.4662504427134991,0.8425
3,20,diverse,0.5576171839237213,0.81375
4,20,diverse,0.44589274629950526,0.85625
5,20,diverse,0.5577290290594101,0.80875
6,20,diverse,0.5781498235464096,0.7925
7,20,diverse,0.5394708383083343,0.81
8,20,diverse,0.6482062101364136,0.7475
9,20,diverse,0.6010402870178223,0.805
10,20,similar,0.7964678779244423,0.74
11,20,similar,0.6838845643401146,0.76
12,20,similar,0.8019921670854092,0.73
13,20,similar,0.95846495911479,0.69875
14,20,similar,0.8127313360571862,0.71875
15,20,similar,0.6239817917346955,0.77125
16,20,similar,0.654526738524437,0.77375
17,20,similar,0.8530175007879734,0.7175
18,20,similar,0.8894103883951903,0.73375
19,20,similar,0.5974521887302399,0.7925
20,20,random,0.5572254934906959,0.7775
21,20,random,0.5640009260177612,0.80375
22,20,random,0.4756596033275127,0.86875
23,20,random,0.5164937935769558,0.82375
24,20,random,0.454571079313755,0.8525
25,20,random,0.6013942614197731,0.765
26,20,random,0.5714311800897122,0.835
27,20,random,0.6125235456973315,0.80125
28,20,random,0.5907549235224724,0.78875
29,20,random,0.44304035156965255,0.84125
0,10,diverse,0.5718727666139602,0.78125
1,10,diverse,0.724338738322258,0.73625
2,10,diverse,0.6558333152532577,0.78125
3,10,diverse,0.6934809404611587,0.745
4,10,diverse,0.5789229661226273,0.78
5,10,diverse,0.6392205142974854,0.765
6,10,diverse,0.6760812363028527,0.79875
7,10,diverse,0.7410090470314026,0.745
8,10,diverse,0.5514316773414611,0.8
9,10,diverse,0.6838720631599426,0.7525
10,10,similar,1.0678484965860844,0.7275
11,10,similar,0.7016575330495834,0.7925
12,10,similar,1.0572528898715974,0.7425
13,10,similar,0.802339868247509,0.76375
14,10,similar,0.7681907689571381,0.72125
15,10,similar,0.979655424952507,0.65
16,10,similar,1.052487455238588,0.735
17,10,similar,0.9187606132030487,0.75625
18,10,similar,0.9859670532308519,0.7575
19,10,similar,0.7228291469812393,0.7925
20,10,random,0.5221427482366562,0.8075
21,10,random,0.6843698734045028,0.755
22,10,random,0.6926599106192589,0.76125
23,10,random,0.7140672516822815,0.77125
24,10,random,0.6583373659849167,0.775
25,10,random,0.6774932968616486,0.75875
26,10,random,0.6525969341397285,0.76625
27,10,random,0.5855239796638488,0.78375
28,10,random,0.7418126261234284,0.755
29,10,random,0.5976478964090347,0.78
0,5,diverse,0.9679923391342163,0.63375
1,5,diverse,0.6892354375123978,0.7675
2,5,diverse,0.8867751866579056,0.66375
3,5,diverse,0.887272275686264,0.66
4,5,diverse,0.8657302534580231,0.67625
5,5,diverse,0.9315418589115143,0.7
6,5,diverse,0.8434330070018768,0.7
7,5,diverse,1.045628988146782,0.6625
8,5,diverse,0.7492974656820297,0.71125
9,5,diverse,0.7720495533943176,0.72125
10,5,similar,1.1811418157815934,0.62375
11,5,similar,2.035852238126099,0.65625
12,5,similar,1.0288510477542878,0.62125
13,5,similar,0.8347140318155288,0.6925
14,5,similar,0.9463855922222137,0.70125
15,5,similar,0.8972939091920853,0.69
16,5,similar,0.7629445707798004,0.73
17,5,similar,0.744682645201683,0.72875
18,5,similar,1.0613419675827027,0.59
19,5,similar,1.3909769895672799,0.6275
20,5,random,0.8365801721066236,0.7275
21,5,random,0.7763986685872077,0.7425
22,5,random,0.6744757294654846,0.74
23,5,random,0.7198220199346542,0.7325
24,5,random,0.6913677000999451,0.75125
25,5,random,0.8479813492298126,0.6825
26,5,random,0.8433503651618958,0.735
27,5,random,0.8719874328374863,0.67125
28,5,random,0.8611192238330841,0.68375
29,5,random,0.8125327831506729,0.695
