,train_size,train_set_type,loss,accuracy
0,80,diverse,0.2647995805257233,0.915
1,80,diverse,0.28092755580320955,0.91875
2,80,diverse,0.3068546521663666,0.905
3,80,diverse,0.23018867292441428,0.91625
4,80,diverse,0.21715314699336885,0.9375
5,80,diverse,0.27553026063367725,0.9125
6,80,diverse,0.22078905696049334,0.93
7,80,diverse,0.34041806906461713,0.88125
8,80,diverse,0.26713250517845155,0.93
9,80,diverse,0.3231671583652496,0.895
10,80,similar,0.3483488017320633,0.885
11,80,similar,0.367925142608583,0.89
12,80,similar,0.2792670943588018,0.91125
13,80,similar,0.3180480539798737,0.9025
14,80,similar,0.3515082675218582,0.885
15,80,similar,0.4009098858386278,0.905
16,80,similar,0.32269210293889045,0.89
17,80,similar,0.27422473385930063,0.91875
18,80,similar,0.2775453628599644,0.91875
19,80,similar,0.3158053549565375,0.91
20,80,random,0.2873265151306987,0.9025
21,80,random,0.299219695776701,0.9
22,80,random,0.26024823531508445,0.905
23,80,random,0.32936623770743606,0.895
24,80,random,0.31648327529430387,0.90125
25,80,random,0.26864607244729993,0.92
26,80,random,0.2609797276556492,0.90875
27,80,random,0.2819771745800972,0.9125
28,80,random,0.2716551685333252,0.90625
29,80,random,0.26657745860517024,0.91125
0,60,diverse,0.3215665756911039,0.8825
1,60,diverse,0.40905622363090516,0.8825
2,60,diverse,0.2532787464559078,0.91875
3,60,diverse,0.3853082608431578,0.865
4,60,diverse,0.30673603355884554,0.90375
5,60,diverse,0.2903601092100143,0.91125
6,60,diverse,0.2589776169811375,0.925
7,60,diverse,0.278007876239717,0.91
8,60,diverse,0.323533626049757,0.89125
9,60,diverse,0.3458177178353071,0.9
10,60,similar,0.3337412226200104,0.88875
11,60,similar,0.5370531013607979,0.845
12,60,similar,0.475608549118042,0.8775
13,60,similar,0.3345597669482231,0.8925
14,60,similar,0.30478378891944885,0.89
15,60,similar,0.42727059714496135,0.85
16,60,similar,0.5467956630140542,0.85375
17,60,similar,0.3832381630688906,0.9
18,60,similar,0.5100287872552872,0.86
19,60,similar,0.3868029747158289,0.885
20,60,random,0.2795046596601605,0.91
21,60,random,0.29632485991343854,0.92125
22,60,random,0.31215408340096473,0.91125
23,60,random,0.2658870318625122,0.92125
24,60,random,0.2993863629922271,0.89125
25,60,random,0.2626702931523323,0.90875
26,60,random,0.3066230400279164,0.9
27,60,random,0.34749232552945614,0.87375
28,60,random,0.26978013585321603,0.905
29,60,random,0.2544120520725846,0.92625
0,50,diverse,0.27333623632788656,0.9025
1,50,diverse,0.29603001702576875,0.9
2,50,diverse,0.29095824133604764,0.90125
3,50,diverse,0.26769909923896196,0.9125
4,50,diverse,0.31059838734567163,0.9025
5,50,diverse,0.28090023169294,0.9175
6,50,diverse,0.33380387783050536,0.8875
7,50,diverse,0.30645183838903906,0.89125
8,50,diverse,0.26535719096660615,0.93125
9,50,diverse,0.4000485730171204,0.87
10,50,similar,0.41121542468667033,0.885
11,50,similar,0.5278280599415303,0.835
12,50,similar,0.5888728575408458,0.85
13,50,similar,0.5223623567121103,0.8675
14,50,similar,0.7917952449060977,0.82
15,50,similar,0.49632533609867097,0.8275
16,50,similar,0.46184797372668984,0.86625
17,50,similar,0.5165333991497755,0.84
18,50,similar,0.5047454428672791,0.8375
19,50,similar,0.38461615942418576,0.895
20,50,random,0.4743134355545044,0.835
21,50,random,0.41782162342220547,0.84
22,50,random,0.4322169644385576,0.85
23,50,random,0.3463728468120098,0.8875
24,50,random,0.38401044219732283,0.87
25,50,random,0.33330762177705764,0.9075
26,50,random,0.32285879135131834,0.90125
27,50,random,0.3545324084255844,0.8775
28,50,random,0.3793617095425725,0.86625
29,50,random,0.3837864631414413,0.86375
0,40,diverse,0.35158131331205367,0.87875
1,40,diverse,0.34779552653431894,0.885
2,40,diverse,0.3669800543785095,0.875
3,40,diverse,0.42424128636717795,0.84375
4,40,diverse,0.47001017242670057,0.835
5,40,diverse,0.40558371469378474,0.86
6,40,diverse,0.3536356243863702,0.8675
7,40,diverse,0.4330498212575912,0.82375
8,40,diverse,0.3649415174126625,0.86625
9,40,diverse,0.30490749299526215,0.885
10,40,similar,0.5780060051963665,0.86875
11,40,similar,0.4788266077451408,0.85125
12,40,similar,0.5746418273448944,0.7975
13,40,similar,0.43550048768520355,0.86125
14,40,similar,0.5836089661065489,0.85375
15,40,similar,0.4626177098602057,0.85875
16,40,similar,0.5095064428448677,0.85625
17,40,similar,0.597542609795928,0.845
18,40,similar,0.5292010217905044,0.81375
19,40,similar,0.6999697402119637,0.7725
20,40,random,0.28767435914836825,0.8925
21,40,random,0.3261404812335968,0.885
22,40,random,0.36973850630223754,0.87375
23,40,random,0.3244041135907173,0.8875
24,40,random,0.47804593155160546,0.835
25,40,random,0.3544400805979967,0.87625
26,40,random,0.3598355208337307,0.88125
27,40,random,0.4087041029334068,0.84875
28,40,random,0.3436597365140915,0.88625
29,40,random,0.35821488685905933,0.8925
0,30,diverse,0.4136690802127123,0.8475
1,30,diverse,0.5835859211906791,0.80375
2,30,diverse,0.37984389945864677,0.87875
3,30,diverse,0.36145086120814085,0.86
4,30,diverse,0.29662040136754514,0.91875
5,30,diverse,0.43513530023396013,0.83
6,30,diverse,0.3462198866903782,0.88375
7,30,diverse,0.4322038730978966,0.83875
8,30,diverse,0.6382159185409546,0.77625
9,30,diverse,0.583577763736248,0.78
10,30,similar,0.5916938011348247,0.83125
11,30,similar,0.9886630569025874,0.72625
12,30,similar,0.6479154276847839,0.82
13,30,similar,0.4977543532848358,0.82875
14,30,similar,0.7582438916712999,0.75375
15,30,similar,0.7989730751514434,0.7
16,30,similar,0.7832061743736267,0.77125
17,30,similar,0.49857515543699266,0.8275
18,30,similar,0.8438256676495075,0.8125
19,30,similar,0.9875491483416409,0.79375
20,30,random,0.4201727692782879,0.83
21,30,random,0.5025459733605385,0.82
22,30,random,0.5011249845474959,0.8475
23,30,random,0.4628907337784767,0.825
24,30,random,0.44498953387141227,0.84125
25,30,random,0.3756559804081917,0.87875
26,30,random,0.4164008872769773,0.87375
27,30,random,0.3988629391789436,0.85625
28,30,random,0.4381085585150868,0.86875
29,30,random,0.3837210386246443,0.855
0,20,diverse,0.6620587030053139,0.75875
1,20,diverse,0.6608022367954254,0.74125
2,20,diverse,0.5580207808315754,0.7975
3,20,diverse,0.4303609043359756,0.84125
4,20,diverse,0.5433289414644241,0.825
5,20,diverse,0.5950334343314171,0.7825
6,20,diverse,0.5963425916433335,0.805
7,20,diverse,0.5385925114154816,0.80125
8,20,diverse,0.45070567905902864,0.83375
9,20,diverse,0.6979700744152069,0.76375
10,20,similar,0.76939821600914,0.72375
11,20,similar,0.7232988411188126,0.775
12,20,similar,0.6719770324230194,0.78125
13,20,similar,0.68465744972229,0.7375
14,20,similar,1.0972017604112625,0.7675
15,20,similar,0.8758521963842213,0.78375
16,20,similar,0.6976215255260467,0.7525
17,20,similar,0.7535678654909134,0.775
18,20,similar,0.7269079065322877,0.8025
19,20,similar,0.7606426297873259,0.74625
20,20,random,0.4422431215643883,0.8475
21,20,random,0.4789523407816887,0.8325
22,20,random,0.467102310359478,0.83
23,20,random,0.6072697253525257,0.7725
24,20,random,0.6306342823803425,0.81875
25,20,random,0.8067047357559204,0.7125
26,20,random,0.5128266884759068,0.7975
27,20,random,0.525384281873703,0.81375
28,20,random,0.49345633447170256,0.81625
29,20,random,0.5804560470581055,0.81125
0,10,diverse,0.5677341043949127,0.79
