,train_size,train_set_type,loss,accuracy
0,10,diverse,2.1078111572265623,0.2251
1,10,diverse,2.200296181869507,0.2111
2,10,diverse,2.2291881198883057,0.2081
3,10,diverse,2.1316355529785156,0.2348
4,10,diverse,2.1034799312591552,0.2318
5,10,diverse,2.135255267333984,0.2226
6,10,diverse,2.1608732776641846,0.2063
7,10,diverse,2.239453336715698,0.167
8,10,diverse,2.127266326522827,0.209
9,10,diverse,2.072770263671875,0.2505
10,10,similar,3.4832560203552245,0.2518
11,10,similar,2.2104908359527586,0.2219
12,10,similar,2.3324890838623045,0.2655
13,10,similar,2.2787515445709228,0.2464
14,10,similar,3.153903539657593,0.2416
15,10,similar,2.160727300643921,0.2899
16,10,similar,2.155149217224121,0.2465
17,10,similar,2.6297380172729494,0.2315
18,10,similar,2.4256345340728758,0.2043
19,10,similar,2.3827085578918457,0.2412
20,10,random,2.0079264827728274,0.2904
21,10,random,2.134015734863281,0.2302
22,10,random,2.088945425415039,0.2342
23,10,random,2.032616304016113,0.2612
24,10,random,2.140027401351929,0.2974
25,10,random,2.0288650924682616,0.2454
26,10,random,1.978531746673584,0.3073
27,10,random,1.9648296405792236,0.3199
28,10,random,2.005396725845337,0.2759
29,10,random,2.0339550243377684,0.2437
0,20,diverse,2.115340582275391,0.2191
1,20,diverse,2.035136042022705,0.2777
2,20,diverse,2.007421658706665,0.2696
3,20,diverse,2.1058950378417967,0.2506
4,20,diverse,1.9574642501831054,0.2992
5,20,diverse,2.1173919239044188,0.2807
6,20,diverse,2.1124042137145995,0.2341
7,20,diverse,2.012680250930786,0.2672
8,20,diverse,2.0336634536743166,0.2705
9,20,diverse,2.0509690418243407,0.2445
10,20,similar,2.459209295272827,0.2228
11,20,similar,2.5727573291778563,0.2267
12,20,similar,3.3450312267303466,0.3073
13,20,similar,3.7160275596618653,0.3101
14,20,similar,2.9900944355010988,0.2297
15,20,similar,2.1556947046279906,0.2322
16,20,similar,2.136124583816528,0.2314
17,20,similar,2.0484903106689454,0.2468
18,20,similar,2.252112054824829,0.2307
19,20,similar,3.3003245639801024,0.2959
20,20,random,1.9940540187835694,0.2973
21,20,random,1.9069289413452148,0.2888
22,20,random,1.9030803546905517,0.3347
23,20,random,1.8930834983825684,0.3483
24,20,random,1.87047843170166,0.3471
25,20,random,1.9169356609344483,0.3611
26,20,random,1.876239352798462,0.3319
27,20,random,1.7952920585632324,0.4311
28,20,random,1.897086595916748,0.3254
29,20,random,1.81877629737854,0.3683
0,30,diverse,1.821848752975464,0.3575
1,30,diverse,2.010145538330078,0.293
2,30,diverse,1.8495247432708741,0.3307
3,30,diverse,1.9451475093841553,0.2736
4,30,diverse,2.0040030784606935,0.2864
5,30,diverse,1.878606610107422,0.3289
6,30,diverse,1.8735057971954345,0.3183
7,30,diverse,1.889955643081665,0.3342
8,30,diverse,1.9562710815429687,0.3054
9,30,diverse,1.8637960578918458,0.3471
10,30,similar,2.0732720848083495,0.2582
11,30,similar,3.0134762699127196,0.3252
12,30,similar,3.7525660537719725,0.2676
13,30,similar,2.680359741973877,0.2487
14,30,similar,2.43822540473938,0.3688
15,30,similar,2.3458456748962404,0.3383
16,30,similar,3.0259511505126953,0.3034
17,30,similar,3.3922196029663088,0.3338
18,30,similar,2.993784729385376,0.3495
19,30,similar,2.9300293991088866,0.3693
20,30,random,1.740204511642456,0.3849
21,30,random,1.826596385383606,0.3337
22,30,random,1.8957156898498535,0.3393
23,30,random,1.7258929069519042,0.4169
24,30,random,1.5394433963775636,0.4568
25,30,random,1.9192177486419677,0.3357
26,30,random,1.812888187789917,0.3511
27,30,random,1.8333700981140137,0.3496
28,30,random,1.9593058952331543,0.3052
29,30,random,1.9262295385360717,0.3281
0,40,diverse,1.7405091264724732,0.3871
1,40,diverse,1.6164586729049684,0.4234
2,40,diverse,1.8916100807189942,0.3449
3,40,diverse,2.0298971515655517,0.2814
4,40,diverse,1.9104731800079346,0.3481
5,40,diverse,1.9032709836959838,0.3398
6,40,diverse,1.8408543811798095,0.3609
7,40,diverse,1.8300040828704833,0.347
8,40,diverse,1.6208774730682374,0.4254
9,40,diverse,1.7453660957336425,0.3688
10,40,similar,3.1345463176727293,0.3084
11,40,similar,2.3744989841461184,0.289
12,40,similar,3.5887138145446777,0.3092
13,40,similar,1.9825859561920165,0.2843
14,40,similar,2.575551588821411,0.3549
15,40,similar,4.193818658447266,0.293
16,40,similar,2.7617754842758178,0.3594
17,40,similar,2.7288319919586184,0.3421
18,40,similar,2.8730585136413573,0.3372
19,40,similar,2.9662091594696043,0.3883
20,40,random,1.3984193588256837,0.5168
21,40,random,1.4654410150527954,0.4837
22,40,random,1.8702136131286622,0.3235
23,40,random,1.5687236614227296,0.4866
24,40,random,1.6733790138244629,0.4288
25,40,random,1.6055042449951171,0.47
26,40,random,1.5857770288467408,0.422
27,40,random,1.6805357532501222,0.4163
28,40,random,1.4988148317337036,0.5154
29,40,random,1.4825896314620972,0.4593
0,50,diverse,1.8893186771392823,0.3141
1,50,diverse,1.818102438735962,0.3474
2,50,diverse,1.7206134403228759,0.3957
3,50,diverse,1.7446239868164062,0.38
4,50,diverse,2.039166244506836,0.3639
5,50,diverse,1.5548976596832276,0.4457
6,50,diverse,1.6780111965179443,0.3996
7,50,diverse,1.5753016746520996,0.4688
8,50,diverse,1.733398274230957,0.3824
9,50,diverse,1.7471851070404052,0.3705
10,50,similar,2.6787510234832763,0.3327
11,50,similar,2.720351051712036,0.3506
12,50,similar,2.0286823165893555,0.2769
13,50,similar,2.973357155418396,0.3789
14,50,similar,2.693229510116577,0.3776
15,50,similar,2.481646338272095,0.3743
16,50,similar,2.1475819999694825,0.3843
17,50,similar,2.7873499603271483,0.3983
18,50,similar,2.113950676345825,0.3967
19,50,similar,4.149280587005615,0.2773
20,50,random,1.6090250354766846,0.4255
21,50,random,1.5884287954330445,0.451
22,50,random,1.4152766691207885,0.5349
23,50,random,1.5365515535354615,0.4615
24,50,random,1.4310470279693603,0.4931
25,50,random,1.3606640445709228,0.518
26,50,random,1.4539338865280151,0.4753
27,50,random,1.5701041053771974,0.4612
28,50,random,1.3930881561279296,0.5067
29,50,random,1.5971941022872924,0.53
0,60,diverse,1.8273176609039308,0.433
1,60,diverse,1.7157639575958252,0.3757
2,60,diverse,1.6646235736846924,0.4314
3,60,diverse,1.7371931751251222,0.4271
4,60,diverse,1.7127376457214356,0.3697
5,60,diverse,1.5306284812927247,0.453
6,60,diverse,1.8380369760513307,0.3693
7,60,diverse,1.8107323638916015,0.3638
8,60,diverse,1.8400015312194824,0.3608
9,60,diverse,1.657782970046997,0.4287
10,60,similar,2.5913398998260497,0.3275
11,60,similar,2.3292001216888427,0.3479
12,60,similar,2.2239279300689696,0.4229
13,60,similar,3.3181153553009035,0.3608
14,60,similar,3.035088362121582,0.3207
15,60,similar,2.5916493217468264,0.3707
16,60,similar,2.5369750316619872,0.4105
17,60,similar,2.639794284057617,0.3265
18,60,similar,2.8600754096984864,0.3211
19,60,similar,3.366705183029175,0.36
20,60,random,1.4009524332046508,0.5179
21,60,random,1.36953401927948,0.5429
22,60,random,1.497937734222412,0.4843
23,60,random,1.3051969659805298,0.5344
24,60,random,1.321540143585205,0.5448
25,60,random,1.4299276639938354,0.5133
26,60,random,1.309431519317627,0.5398
27,60,random,1.445595344543457,0.4829
28,60,random,1.4235493589401245,0.5002
29,60,random,1.4017061485290527,0.4926
0,70,diverse,1.5891836156845094,0.418
1,70,diverse,1.4773798170089723,0.4993
2,70,diverse,1.5216907341003418,0.4754
3,70,diverse,1.5132932426452637,0.4579
4,70,diverse,1.6859852085113525,0.388
5,70,diverse,1.7879646156311035,0.4229
6,70,diverse,1.6765938888549805,0.4095
7,70,diverse,1.6643720653533935,0.4101
8,70,diverse,1.6529354370117189,0.4286
9,70,diverse,1.5462615222930909,0.4484
10,70,similar,3.1202566669464114,0.3089
11,70,similar,2.33991679019928,0.3906
12,70,similar,3.745674676513672,0.3331
13,70,similar,3.1687791175842284,0.3537
14,70,similar,2.8816525299072264,0.4125
15,70,similar,3.2264682327270506,0.3593
16,70,similar,3.283295116043091,0.3508
17,70,similar,2.408871673965454,0.3642
18,70,similar,2.137439315414429,0.3958
19,70,similar,2.9124911045074464,0.3703
20,70,random,1.3923764980316162,0.5412
