,train_size,train_set_type,loss,accuracy
0,500,diverse,1.0504141251564025,0.6767
1,500,diverse,0.875669943523407,0.6947
2,500,diverse,0.9978142056465149,0.69
3,500,diverse,0.945139485836029,0.6869
4,500,diverse,0.913510878276825,0.6869
5,500,diverse,0.9824633255958557,0.6841
6,500,diverse,1.0429663429260254,0.688
7,500,diverse,1.0254947525978089,0.6925
8,500,diverse,0.9295742504119873,0.6826
9,500,diverse,0.8822486702919007,0.6968
10,500,similar,1.4744855167388915,0.5769
11,500,similar,1.704640343284607,0.6057
12,500,similar,1.3484859800338744,0.5872
13,500,similar,1.9027988195419312,0.5683
14,500,similar,1.6156931455612182,0.5744
15,500,similar,1.4863457359313965,0.6088
16,500,similar,1.6318050849914552,0.5981
17,500,similar,1.3365808298110962,0.6318
18,500,similar,1.6016453281402587,0.6074
19,500,similar,1.5815525186538697,0.5374
20,500,random,0.8142595802307129,0.7354
21,500,random,0.8980405240058899,0.6884
22,500,random,0.817168081188202,0.7142
23,500,random,0.8460865772247315,0.7366
24,500,random,0.8073007213592529,0.7257
25,500,random,0.8655409285545349,0.7008
26,500,random,0.8463850283622741,0.7079
27,500,random,0.8499382961273193,0.7089
28,500,random,0.8049799740791321,0.723
29,500,random,0.8596927629470825,0.6979
0,250,diverse,1.163998387145996,0.6025
1,250,diverse,1.1635257989883423,0.6501
2,250,diverse,1.1115790842056275,0.6536
3,250,diverse,1.224272751235962,0.619
4,250,diverse,1.1139985843658446,0.6262
5,250,diverse,1.3135025089263916,0.5356
6,250,diverse,1.215285117149353,0.5728
7,250,diverse,1.1826902378082276,0.6054
8,250,diverse,1.10400101852417,0.6266
9,250,diverse,1.0809757842063903,0.6519
10,250,similar,2.5004266902923584,0.5144
11,250,similar,2.2273834316253662,0.4922
12,250,similar,2.0178700521469115,0.5148
13,250,similar,2.165621533203125,0.5325
14,250,similar,1.5702136863708496,0.4872
15,250,similar,1.9224401760101317,0.4508
16,250,similar,2.1167781457901,0.508
17,250,similar,2.194358299636841,0.495
18,250,similar,2.3296560546875,0.4636
19,250,similar,2.06055203666687,0.4565
20,250,random,1.0623914804458618,0.6223
21,250,random,0.9274625367164612,0.6754
22,250,random,1.0463708852767943,0.6344
23,250,random,1.0205856056213378,0.6442
24,250,random,1.0730909511566162,0.6302
25,250,random,0.991727430343628,0.6656
26,250,random,1.4717386924743652,0.4637
27,250,random,1.0482935012817383,0.6397
28,250,random,0.9993884811401367,0.649
29,250,random,1.0070585412979125,0.6559
0,200,diverse,1.1795675224304198,0.6368
1,200,diverse,1.1670466871261598,0.5893
2,200,diverse,1.2253007375717162,0.5927
3,200,diverse,1.2211921741485596,0.6065
4,200,diverse,1.0502436219215394,0.6511
5,200,diverse,1.126460153198242,0.5957
6,200,diverse,1.0309059351921082,0.6515
7,200,diverse,1.1180932563781738,0.6171
8,200,diverse,1.118859760284424,0.6377
9,200,diverse,1.0594869597434997,0.6551
10,200,similar,2.5816369468688967,0.4544
11,200,similar,1.7516173454284667,0.4726
12,200,similar,2.1884914760589598,0.4634
13,200,similar,1.7707745903015137,0.5509
14,200,similar,1.9012646789550782,0.5226
15,200,similar,1.8702945426940918,0.4253
16,200,similar,2.1382393198013308,0.4856
17,200,similar,2.07408354511261,0.4596
18,200,similar,1.9450794145584107,0.4985
19,200,similar,1.8446820434570312,0.4802
20,200,random,1.0738053104400636,0.6533
21,200,random,1.007836170578003,0.667
22,200,random,0.9947964454650879,0.6739
23,200,random,1.0703049613952638,0.6257
24,200,random,1.0790250671386719,0.6666
25,200,random,1.0873606902122497,0.6318
26,200,random,1.0183236627578736,0.6473
27,200,random,1.0126788990020752,0.6599
28,200,random,1.0349343227386474,0.6492
29,200,random,1.0231760526657105,0.6544
0,100,diverse,1.6215375232696534,0.4791
1,100,diverse,1.4286787204742433,0.5114
2,100,diverse,1.538889185142517,0.5354
3,100,diverse,1.2846842784881591,0.5636
4,100,diverse,1.3664154747009278,0.5241
5,100,diverse,1.4577812494277953,0.5378
6,100,diverse,1.3503757841110229,0.5364
7,100,diverse,1.3500301280975342,0.5403
8,100,diverse,1.3989524183273316,0.5129
9,100,diverse,1.2746157178878783,0.5487
10,100,similar,2.4360779296875,0.4482
11,100,similar,2.6097975046157837,0.4359
12,100,similar,2.887616613769531,0.4398
13,100,similar,3.1633883972167967,0.3792
14,100,similar,2.472645594787598,0.3918
15,100,similar,2.4762372817993166,0.4363
16,100,similar,2.2286200134277343,0.4015
17,100,similar,2.761351114654541,0.4135
18,100,similar,2.69396241607666,0.4123
19,100,similar,3.429840802764893,0.407
20,100,random,1.4903080249786378,0.4627
21,100,random,1.1825664852142335,0.5834
22,100,random,1.191242385673523,0.5977
23,100,random,1.3842160278320312,0.5142
24,100,random,1.250758981513977,0.5744
25,100,random,1.1783657258987428,0.6037
26,100,random,1.297191223335266,0.5387
27,100,random,1.2580786958694459,0.5664
28,100,random,1.2809609457015991,0.5598
29,100,random,1.3602601234436036,0.5211
0,80,diverse,1.465449811935425,0.5348
1,80,diverse,1.4434691551208496,0.4958
2,80,diverse,1.5557000204086304,0.5029
3,80,diverse,1.7322945621490478,0.3915
4,80,diverse,1.4132989154815674,0.5202
5,80,diverse,1.392372731590271,0.5371
6,80,diverse,1.4714941953659058,0.4848
7,80,diverse,1.389367350959778,0.5365
8,80,diverse,1.4941356006622315,0.4717
9,80,diverse,1.5052463207244873,0.527
10,80,similar,3.666402471923828,0.347
11,80,similar,2.8334498695373536,0.4225
12,80,similar,2.0880945011138916,0.3719
13,80,similar,2.5796532325744628,0.4376
14,80,similar,2.631215795516968,0.3377
15,80,similar,3.302828235244751,0.3763
16,80,similar,3.1050151332855225,0.3376
17,80,similar,2.0644138107299805,0.4104
18,80,similar,2.1444058944702147,0.3665
19,80,similar,2.6210348186492918,0.3826
20,80,random,1.2360855243682862,0.5709
21,80,random,1.3328067468643188,0.5402
22,80,random,1.4356088371276856,0.4951
23,80,random,1.493084342956543,0.4756
24,80,random,1.2724916585922241,0.5621
25,80,random,1.302306132888794,0.5655
26,80,random,1.336734716796875,0.5327
27,80,random,1.275363652420044,0.5624
28,80,random,1.2932214763641356,0.5807
29,80,random,1.3245739068984985,0.5498
0,60,diverse,1.3739424430847167,0.5134
1,60,diverse,1.6719568161010743,0.4592
2,60,diverse,1.5516407316207885,0.4862
3,60,diverse,1.6290110794067383,0.4472
4,60,diverse,1.473671566772461,0.4737
5,60,diverse,1.5524001766204834,0.459
6,60,diverse,1.557926914215088,0.5148
7,60,diverse,1.6527552156448364,0.4336
8,60,diverse,1.8370620124816894,0.4063
9,60,diverse,1.5466237329483032,0.4639
10,60,similar,2.6928792850494383,0.3625
11,60,similar,2.4991121131896974,0.2983
12,60,similar,2.92217903137207,0.3892
13,60,similar,3.172371237182617,0.3646
14,60,similar,2.760171451950073,0.3121
15,60,similar,2.5006250507354735,0.4058
16,60,similar,2.564991349411011,0.3408
17,60,similar,2.9814257343292234,0.3773
18,60,similar,2.4135831607818603,0.3782
19,60,similar,3.0763813049316404,0.3828
20,60,random,1.422064231491089,0.5028
21,60,random,1.4037226160049439,0.5212
22,60,random,1.5165126972198486,0.4606
23,60,random,1.4902422021865844,0.5111
24,60,random,1.4555397296905517,0.4956
25,60,random,1.5451069118499756,0.4612
26,60,random,1.4857898057937622,0.4974
27,60,random,1.5134049858093261,0.4608
28,60,random,1.3981813152313232,0.5511
29,60,random,1.4477291534423828,0.5049
0,40,diverse,1.9040125102996825,0.3306
1,40,diverse,1.903535001373291,0.3245
2,40,diverse,1.6427424608230592,0.4659
3,40,diverse,1.8063005516052246,0.3522
4,40,diverse,1.6609101852416992,0.4252
5,40,diverse,1.8225436912536621,0.3402
6,40,diverse,2.1246732635498047,0.3784
7,40,diverse,1.6101549962997437,0.4436
8,40,diverse,1.7979547790527344,0.3735
9,40,diverse,1.8531935955047607,0.3708
10,40,similar,2.522462215423584,0.3493
11,40,similar,3.6942457733154295,0.3326
12,40,similar,2.3042896278381346,0.3531
13,40,similar,2.611936768722534,0.3081
14,40,similar,3.126583060455322,0.3595
15,40,similar,2.915299715423584,0.2866
16,40,similar,2.878618772125244,0.3348
17,40,similar,1.939003343963623,0.2995
18,40,similar,2.810451940536499,0.3881
19,40,similar,3.078482440567017,0.3214
20,40,random,1.5639459720611573,0.4536
21,40,random,1.429605157661438,0.4963
22,40,random,1.5482916887283324,0.4837
23,40,random,1.3615450078964233,0.5331
24,40,random,1.688721205329895,0.4024
25,40,random,1.4495902303695678,0.4679
26,40,random,1.624318480682373,0.4213
27,40,random,1.5317139072418213,0.4537
28,40,random,1.6271973480224609,0.4806
29,40,random,1.6541094848632814,0.4286
0,20,diverse,2.0564972835540773,0.2685
