,train_size,train_set_type,loss,accuracy
0,10,diverse,2.1522171909332277,0.191
1,10,diverse,2.116702000808716,0.2076
2,10,diverse,2.3064495193481447,0.2364
3,10,diverse,2.1779884578704833,0.2178
4,10,diverse,2.04701974029541,0.247
5,10,diverse,2.1727949726104736,0.192
6,10,diverse,2.111647387313843,0.2472
7,10,diverse,2.1520356899261475,0.215
8,10,diverse,2.2027922779083253,0.2008
9,10,diverse,2.068081769180298,0.2667
10,10,similar,2.291994719696045,0.2242
11,10,similar,2.2146784549713137,0.2688
12,10,similar,2.815878042984009,0.2499
13,10,similar,2.1007810569763183,0.2417
14,10,similar,2.598747844696045,0.2458
15,10,similar,2.5176351108551027,0.2299
16,10,similar,2.0342655891418455,0.2756
17,10,similar,2.1117362575531007,0.212
18,10,similar,2.1558926959991456,0.2586
19,10,similar,2.2775376426696776,0.2362
20,10,random,1.9880294374465943,0.2992
21,10,random,2.137426563644409,0.2056
22,10,random,2.007399180603027,0.2727
23,10,random,1.9320203216552734,0.2952
24,10,random,2.01281076965332,0.2772
25,10,random,2.056442461013794,0.2673
26,10,random,2.160120760345459,0.1977
27,10,random,2.0889448894500733,0.2707
28,10,random,2.038436317062378,0.2669
29,10,random,2.0570190273284914,0.2634
0,20,diverse,2.043550829696655,0.2438
1,20,diverse,2.017599089050293,0.2791
2,20,diverse,1.9567084053039552,0.3053
3,20,diverse,1.9386852298736572,0.274
4,20,diverse,2.0757974178314207,0.2373
5,20,diverse,2.0209122299194338,0.2671
6,20,diverse,2.064536594772339,0.2851
7,20,diverse,2.0204179107666014,0.2615
8,20,diverse,2.0809617321014406,0.2823
9,20,diverse,2.0426402015686036,0.2636
10,20,similar,2.3297070583343507,0.2768
11,20,similar,2.282539465713501,0.3151
12,20,similar,2.282173079299927,0.3204
13,20,similar,2.968344485473633,0.2932
14,20,similar,2.1334190952301024,0.2792
15,20,similar,2.0189794130325316,0.3599
16,20,similar,2.5998175441741944,0.3282
17,20,similar,2.342881707763672,0.3843
18,20,similar,1.98254937210083,0.2805
19,20,similar,2.0168767436981203,0.268
20,20,random,1.82869189453125,0.4164
21,20,random,1.8445970649719239,0.3419
22,20,random,1.9623981468200684,0.3216
