,train_size,train_set_type,loss,accuracy
0,10,diverse,2.1681401351928713,0.2175
1,10,diverse,2.187816837310791,0.2047
2,10,diverse,2.603764945602417,0.195
3,10,diverse,2.601810701751709,0.1787
4,10,diverse,2.1928900722503664,0.2592
5,10,diverse,2.213831160736084,0.2439
6,10,diverse,2.37047975692749,0.2158
7,10,diverse,2.2043327365875243,0.2061
8,10,diverse,2.190538449859619,0.2575
9,10,diverse,2.444490308380127,0.1762
10,10,similar,2.150521463012695,0.2579
11,10,similar,2.403246739959717,0.266
12,10,similar,2.5312886993408203,0.2514
13,10,similar,2.2435206504821776,0.2558
14,10,similar,2.453291421508789,0.1977
15,10,similar,2.3197211444854737,0.2632
16,10,similar,2.411092120361328,0.257
17,10,similar,2.322592398071289,0.201
18,10,similar,2.1995661067962646,0.2663
19,10,similar,2.2119095844268797,0.2419
20,10,random,2.4325700023651122,0.2087
21,10,random,2.238499982452393,0.2022
22,10,random,2.3808871406555174,0.2138
23,10,random,2.579556137466431,0.2046
24,10,random,2.256106337738037,0.1939
25,10,random,2.4378632289886473,0.1488
26,10,random,2.8020333755493163,0.1589
27,10,random,2.201058765411377,0.2156
28,10,random,2.385123055267334,0.1546
29,10,random,2.3133260147094727,0.2361
0,20,diverse,1.980104920578003,0.3118
1,20,diverse,2.396921421813965,0.264
2,20,diverse,2.839280502319336,0.1641
3,20,diverse,3.084970120239258,0.2899
4,20,diverse,2.3265494316101076,0.3447
5,20,diverse,2.154129745101929,0.2913
6,20,diverse,2.2447441600799563,0.2818
7,20,diverse,2.22004755821228,0.3319
8,20,diverse,2.6324699188232423,0.2836
9,20,diverse,2.441375062942505,0.2736
10,20,similar,2.283664298248291,0.2928
11,20,similar,2.031775664520264,0.3194
12,20,similar,2.8227439807891845,0.2485
13,20,similar,2.3013981658935547,0.3055
14,20,similar,2.338136731719971,0.2491
15,20,similar,2.2501671577453615,0.299
16,20,similar,2.3988239379882814,0.3374
17,20,similar,2.7575611763000487,0.2515
18,20,similar,2.339402841949463,0.3223
19,20,similar,2.7244060024261474,0.2202
20,20,random,2.1604877113342287,0.3073
21,20,random,2.2736062965393065,0.2525
22,20,random,2.2258961963653565,0.3168
23,20,random,2.682252590560913,0.2326
24,20,random,2.088052714920044,0.375
25,20,random,2.1210490119934082,0.3058
26,20,random,3.071553981781006,0.2776
27,20,random,2.021356106376648,0.3299
28,20,random,2.106642428970337,0.3036
29,20,random,2.3217854553222654,0.2529
0,30,diverse,2.390010718536377,0.3158
1,30,diverse,1.9013485454559327,0.4104
2,30,diverse,2.455451513671875,0.2327
3,30,diverse,2.1471307781219484,0.3031
4,30,diverse,2.0229291561126708,0.3009
5,30,diverse,3.0230682521820067,0.3151
6,30,diverse,2.4149282375335694,0.2481
7,30,diverse,2.027813891220093,0.3483
8,30,diverse,2.3975819763183592,0.3869
9,30,diverse,2.334358686065674,0.3217
10,30,similar,2.8886804916381834,0.3306
11,30,similar,2.468383810043335,0.3476
12,30,similar,2.2847340656280517,0.3317
13,30,similar,2.0038838302612305,0.3669
14,30,similar,2.4979844970703127,0.4041
15,30,similar,2.2853282199859617,0.3004
16,30,similar,2.1164023250579835,0.3334
17,30,similar,2.0490802696228028,0.3684
18,30,similar,2.0897118518829347,0.3784
19,30,similar,2.1424733501434328,0.372
20,30,random,2.296315128326416,0.2776
21,30,random,1.9538070323944092,0.3739
22,30,random,2.3558352138519285,0.3094
23,30,random,2.435387959289551,0.3117
24,30,random,2.0602839904785157,0.3171
25,30,random,2.61986328125,0.3192
26,30,random,2.906300690841675,0.3313
27,30,random,2.195747417831421,0.3443
28,30,random,2.7853618991851805,0.2249
29,30,random,3.560256823348999,0.2159
0,40,diverse,1.8272689373016358,0.3417
1,40,diverse,1.962895407485962,0.3888
2,40,diverse,1.8831232273101806,0.4214
3,40,diverse,2.1126956844329836,0.3813
4,40,diverse,2.074976094818115,0.4199
5,40,diverse,2.1285831558227537,0.4436
6,40,diverse,2.224409753036499,0.3564
7,40,diverse,2.337029085922241,0.4009
8,40,diverse,2.0152927055358885,0.355
9,40,diverse,2.1134591789245607,0.3043
10,40,similar,2.192053442764282,0.3792
11,40,similar,2.1980373699188234,0.3472
12,40,similar,2.276211916732788,0.4032
13,40,similar,2.5116156757354737,0.3526
14,40,similar,2.2946730491638183,0.3707
15,40,similar,1.892788349533081,0.3759
16,40,similar,2.377589810180664,0.3537
17,40,similar,2.088173169708252,0.3768
18,40,similar,2.6553852714538575,0.3227
19,40,similar,2.1550094352722167,0.4035
20,40,random,2.0075522186279295,0.4208
21,40,random,1.972478726196289,0.3543
22,40,random,2.5207001125335693,0.3373
23,40,random,2.0756879863739015,0.4079
24,40,random,2.3928871028900147,0.3428
25,40,random,1.9956596565246583,0.4136
26,40,random,3.1498244007110596,0.3301
27,40,random,2.066483388900757,0.3767
28,40,random,1.8440626316070556,0.4044
29,40,random,2.3472915199279787,0.3739
0,50,diverse,2.233071725845337,0.3944
1,50,diverse,2.6581283294677736,0.4535
2,50,diverse,1.9045358100891114,0.3947
3,50,diverse,2.0332079082489014,0.3788
4,50,diverse,1.9469385112762452,0.4036
5,50,diverse,2.5458393775939943,0.4455
6,50,diverse,2.170058750152588,0.4245
7,50,diverse,1.918133681869507,0.3883
8,50,diverse,1.9314206146240234,0.4075
9,50,diverse,1.845856541824341,0.4097
10,50,similar,2.244975605773926,0.4271
11,50,similar,2.4183271755218505,0.3903
12,50,similar,2.3809574802398683,0.3558
13,50,similar,2.838392918395996,0.3625
14,50,similar,2.6613351448059084,0.3525
15,50,similar,1.8840657207489013,0.3996
16,50,similar,1.9140343173980714,0.4022
17,50,similar,2.0976002281188966,0.4193
18,50,similar,2.0274893478393556,0.4352
19,50,similar,2.2012505908966062,0.4093
20,50,random,1.8473452909469605,0.4539
21,50,random,2.018380849456787,0.4289
22,50,random,1.8876834014892578,0.3567
23,50,random,1.9614409435272218,0.4204
24,50,random,2.5639147659301758,0.3881
25,50,random,2.328627300643921,0.3356
26,50,random,2.326793715286255,0.4607
27,50,random,2.5025648197174073,0.4477
28,50,random,2.228450384902954,0.4052
29,50,random,2.48051086730957,0.3804
0,60,diverse,2.278488335418701,0.4757
1,60,diverse,1.7579625476837157,0.4642
2,60,diverse,2.0417798164367675,0.3942
3,60,diverse,2.736491456222534,0.4246
4,60,diverse,2.0582341827392576,0.4772
5,60,diverse,1.9337051429748535,0.414
6,60,diverse,1.6751059814453124,0.4715
7,60,diverse,1.7601452507019042,0.457
8,60,diverse,2.666836734008789,0.4401
9,60,diverse,1.984847259902954,0.4003
10,60,similar,1.935662257385254,0.4565
11,60,similar,2.3988043292999266,0.4454
12,60,similar,1.7540282314300537,0.4657
13,60,similar,2.127253579902649,0.476
14,60,similar,2.3605302814483644,0.4537
15,60,similar,1.82414213142395,0.4802
16,60,similar,2.0493438854217527,0.3613
17,60,similar,1.72931774559021,0.4514
18,60,similar,1.9560678863525391,0.4929
19,60,similar,1.944663570213318,0.461
20,60,random,1.718708628845215,0.4537
21,60,random,1.8228057945251466,0.4771
22,60,random,1.797371756362915,0.4684
23,60,random,2.105262606430054,0.3991
24,60,random,2.1838319484710693,0.42
25,60,random,2.3353197692871093,0.3966
26,60,random,1.9442129722595214,0.4634
27,60,random,1.7663933364868165,0.4533
28,60,random,1.7120964435577393,0.4294
29,60,random,2.2296244510650634,0.4697
0,70,diverse,1.7044178895950317,0.482
1,70,diverse,2.0911584419250486,0.5075
2,70,diverse,1.8193368961334229,0.436
3,70,diverse,1.7459687437057496,0.4673
4,70,diverse,1.7829566104888916,0.441
5,70,diverse,2.032421474456787,0.4793
6,70,diverse,2.2740206981658937,0.4576
7,70,diverse,1.7907282112121583,0.5226
8,70,diverse,1.9464019618988038,0.4743
