,train_size,train_set_type,loss,accuracy
0,10,diverse,2.298364651489258,0.1563
1,10,diverse,2.3869922485351562,0.1162
2,10,diverse,2.4336052207946777,0.1577
3,10,diverse,2.380754248046875,0.1106
4,10,diverse,2.2558202835083008,0.1306
5,10,diverse,2.32068671875,0.2312
6,10,diverse,2.7009518608093264,0.1
7,10,diverse,2.277622388839722,0.1042
8,10,diverse,2.307320069885254,0.1017
9,10,diverse,2.3664987258911134,0.142
10,10,similar,2.526133029937744,0.1
11,10,similar,2.432474028015137,0.1136
12,10,similar,2.30170558052063,0.1548
13,10,similar,2.332151923370361,0.1278
14,10,similar,2.5131191219329834,0.114
15,10,similar,2.382124055862427,0.2428
16,10,similar,2.28126549949646,0.1639
17,10,similar,2.848900191497803,0.1
18,10,similar,2.5319250915527345,0.1596
19,10,similar,2.676602714538574,0.1045
20,10,random,2.605130101776123,0.1
21,10,random,2.6986911350250242,0.1577
22,10,random,2.6635383972167967,0.12
23,10,random,2.49769483795166,0.1778
24,10,random,2.446399081802368,0.1274
25,10,random,2.3147399700164795,0.1
26,10,random,2.2387351036071776,0.1755
27,10,random,2.317272802734375,0.1
28,10,random,2.3405057861328125,0.151
29,10,random,2.446627322769165,0.2131
0,25,diverse,2.3026109703063966,0.1
1,25,diverse,2.3894281593322755,0.1426
2,25,diverse,2.5074885627746584,0.1643
3,25,diverse,2.274142208099365,0.1847
4,25,diverse,2.342638402557373,0.1573
5,25,diverse,2.4854012371063234,0.2414
6,25,diverse,2.2182291687011717,0.181
7,25,diverse,2.4523391075134278,0.2257
8,25,diverse,2.6450231719970705,0.1045
9,25,diverse,2.288919076538086,0.1181
10,25,similar,2.477975311279297,0.1186
11,25,similar,2.5574541107177735,0.1381
12,25,similar,2.1942665977478026,0.2348
13,25,similar,2.305330423736572,0.1
14,25,similar,2.3029170631408693,0.1008
15,25,similar,2.4072379306793215,0.2405
16,25,similar,2.34948056640625,0.133
17,25,similar,2.3482773902893066,0.1
18,25,similar,2.3053019454956054,0.1
19,25,similar,2.2334167381286623,0.2368
20,25,random,2.3079739109039306,0.2212
21,25,random,2.296686097717285,0.1625
22,25,random,2.302674519729614,0.1
23,25,random,2.3026540332794188,0.1
24,25,random,2.1752475749969484,0.2519
25,25,random,2.5010164894104006,0.1696
26,25,random,2.3147788459777834,0.1382
27,25,random,2.3027338508605957,0.1
28,25,random,2.379816748046875,0.1011
29,25,random,2.344703593826294,0.1947
0,50,diverse,1.898852723312378,0.3499
1,50,diverse,2.3028900245666506,0.1002
2,50,diverse,2.299643286895752,0.108
3,50,diverse,1.914002954864502,0.3614
4,50,diverse,2.3034023666381835,0.1396
5,50,diverse,2.141146887969971,0.1813
6,50,diverse,2.0283174293518065,0.2946
7,50,diverse,2.403098751449585,0.2571
8,50,diverse,2.3964448135375975,0.1832
9,50,diverse,2.327758422088623,0.1445
10,50,similar,2.324518424987793,0.1
11,50,similar,1.6303983451843262,0.4319
12,50,similar,2.0575674728393554,0.2697
13,50,similar,2.1825118911743164,0.2044
14,50,similar,2.2874582359313966,0.1611
15,50,similar,2.3700022441864013,0.2012
16,50,similar,2.2537719955444335,0.1458
17,50,similar,2.0190259826660157,0.3517
18,50,similar,2.0835828117370605,0.2697
19,50,similar,2.2907392555236816,0.1597
20,50,random,2.1651368125915527,0.1854
21,50,random,2.13170687789917,0.2305
22,50,random,2.049675580596924,0.2708
23,50,random,2.502995722198486,0.269
24,50,random,2.2315002674102784,0.2202
25,50,random,2.427260565185547,0.1
26,50,random,2.3231769626617433,0.2167
27,50,random,2.0916504638671873,0.2191
