,train_size,train_set_type,loss,accuracy
0,500,diverse,1.2208982636451722,0.6482
1,500,diverse,1.101914745616913,0.6492
2,500,diverse,1.0515964998722076,0.6972
3,500,diverse,0.9768648735046387,0.7107
4,500,diverse,1.0190671161651612,0.6968
5,500,diverse,1.0689125242233277,0.6711
6,500,diverse,1.110644937801361,0.664
7,500,diverse,0.9571882050514221,0.7109
8,500,diverse,0.8762157664299012,0.7251
9,500,diverse,0.9872755911827087,0.7122
10,500,similar,1.9387774969100953,0.5895
11,500,similar,1.7370767515182495,0.556
12,500,similar,2.046239093399048,0.5201
13,500,similar,1.7605354620933533,0.5963
14,500,similar,1.792939401626587,0.5719
15,500,similar,1.6015302249908447,0.6137
16,500,similar,2.1916968914031982,0.5705
17,500,similar,1.7682235637664796,0.6117
18,500,similar,1.9549014291763305,0.5792
19,500,similar,2.2720528200149537,0.5895
20,500,random,0.9627442212104798,0.7179
21,500,random,0.909595522403717,0.709
22,500,random,0.8390032751083374,0.7368
23,500,random,0.8719202838420868,0.741
24,500,random,0.983973888015747,0.7179
25,500,random,0.930107835483551,0.7293
26,500,random,0.9410859446525573,0.7102
27,500,random,0.8868149746417999,0.7344
28,500,random,0.8307377409934997,0.7257
29,500,random,0.8679412462234497,0.7454
0,250,diverse,1.1732682437896729,0.6414
1,250,diverse,1.3024186499595642,0.6292
2,250,diverse,1.212261275100708,0.6463
3,250,diverse,1.200921421432495,0.6688
4,250,diverse,1.081455138683319,0.6636
5,250,diverse,1.0582429493904113,0.6623
6,250,diverse,1.1142933709144591,0.6407
7,250,diverse,1.5164220264434813,0.5901
8,250,diverse,1.7288862550735473,0.5814
9,250,diverse,1.1625388692855836,0.6288
10,250,similar,2.044735792160034,0.4745
11,250,similar,2.5316858642578124,0.5178
12,250,similar,3.5055943367004394,0.3695
13,250,similar,2.4880626863479613,0.4708
14,250,similar,2.239510005760193,0.4432
15,250,similar,2.2255791133880614,0.4974
16,250,similar,2.8359316051483154,0.4507
17,250,similar,1.9829427101135253,0.5265
18,250,similar,2.588966516494751,0.4269
19,250,similar,3.1417261348724366,0.4831
20,250,random,1.2165375680923463,0.6193
21,250,random,1.1626052822113038,0.6652
22,250,random,1.169446897125244,0.6805
23,250,random,1.1408910907745362,0.6213
24,250,random,1.1427762521743774,0.6402
25,250,random,1.3245525411605834,0.6047
26,250,random,1.0735940293312072,0.6596
27,250,random,1.5393798803329468,0.523
28,250,random,1.1670328577041627,0.6384
29,250,random,1.1469776591300964,0.6622
0,200,diverse,1.1913426239967346,0.6325
1,200,diverse,1.254399122428894,0.6346
2,200,diverse,1.246323497390747,0.629
3,200,diverse,1.3632855899810792,0.5939
4,200,diverse,1.145559860229492,0.6366
5,200,diverse,1.2981386065483094,0.637
6,200,diverse,1.3308734823226929,0.6131
7,200,diverse,1.9256682432174683,0.5672
8,200,diverse,1.1433925952911377,0.6313
9,200,diverse,1.2557666927337647,0.5761
10,200,similar,1.9724778434753418,0.4547
11,200,similar,2.1184306169509886,0.4537
12,200,similar,2.5411346628189087,0.4515
13,200,similar,2.0338766555786134,0.4711
14,200,similar,2.6820604839324953,0.459
15,200,similar,3.2562582290649416,0.4684
16,200,similar,3.3435620223999023,0.4693
17,200,similar,2.306918896484375,0.4597
18,200,similar,2.274913387107849,0.4304
19,200,similar,2.117134366226196,0.4765
20,200,random,1.141584040927887,0.6592
21,200,random,1.0955604409217834,0.6321
22,200,random,1.1498867191314697,0.6154
23,200,random,1.1512534857749939,0.6526
24,200,random,1.197666746520996,0.5834
25,200,random,1.0871382419586182,0.6205
26,200,random,1.2305526195526124,0.6257
27,200,random,1.2877211621284486,0.6079
28,200,random,1.2187312732696534,0.5988
29,200,random,1.1907623140335084,0.6565
0,100,diverse,1.6857635025024413,0.5074
1,100,diverse,1.3739608865737916,0.5393
2,100,diverse,1.5544989816665649,0.5536
3,100,diverse,1.524062678527832,0.5426
