,train_size,train_set_type,loss,accuracy
0,500,diverse,0.9332755634307861,0.7056
1,500,diverse,0.8963000875473023,0.7184
2,500,diverse,0.9730784132957458,0.696
3,500,diverse,0.9875873550415039,0.6837
4,500,diverse,1.1230969903945922,0.652
5,500,diverse,0.8845825751304627,0.7068
6,500,diverse,0.8890613689422607,0.7084
7,500,diverse,0.8782924060821533,0.7221
8,500,diverse,0.95816121301651,0.6871
9,500,diverse,0.9226922902107239,0.714
10,500,similar,1.4622645923614501,0.5806
11,500,similar,1.3525089660644531,0.5865
12,500,similar,1.63622410736084,0.5431
13,500,similar,1.5915034593582154,0.5584
14,500,similar,1.7435332181930543,0.5513
15,500,similar,1.4675768527984618,0.5661
16,500,similar,1.7238392896652222,0.5649
17,500,similar,1.3786710634231567,0.629
18,500,similar,1.629243487930298,0.603
19,500,similar,1.562622459602356,0.566
20,500,random,0.7559391488075257,0.753
21,500,random,0.8083215842247009,0.7223
22,500,random,0.8860719467163086,0.7185
23,500,random,0.8473108372688294,0.7099
24,500,random,0.841271201133728,0.7145
25,500,random,0.8299366543769836,0.7328
26,500,random,0.8667567099571228,0.6982
27,500,random,0.8305426458358764,0.7281
28,500,random,0.8087918176651001,0.7342
29,500,random,0.7934733183860779,0.7388
0,250,diverse,1.1552024299621582,0.5968
1,250,diverse,1.0410721793174744,0.6563
2,250,diverse,1.0431947142601012,0.6625
3,250,diverse,1.2095403760910035,0.614
4,250,diverse,1.104811064720154,0.626
5,250,diverse,1.051594065952301,0.6429
6,250,diverse,0.9643597829818725,0.6687
7,250,diverse,1.0311607904434203,0.6533
8,250,diverse,1.1207273735046386,0.6297
9,250,diverse,1.1262190890312196,0.6663
10,250,similar,2.405396950531006,0.482
11,250,similar,2.172541553735733,0.5106
12,250,similar,2.3542335346221925,0.4633
13,250,similar,1.834329019355774,0.48
14,250,similar,1.8359604000091552,0.5462
15,250,similar,2.395025354003906,0.5112
16,250,similar,2.0572976417541504,0.4687
17,250,similar,2.1626401866912843,0.477
18,250,similar,2.1508118352890016,0.4515
19,250,similar,1.9335469837188721,0.5036
