,train_size,train_set_type,loss,accuracy
0,500,diverse,0.996980246925354,0.6831
1,500,diverse,0.9313329724311828,0.6929
2,500,diverse,0.9501120713233948,0.679
3,500,diverse,0.9600195640563964,0.6836
4,500,diverse,1.027377199459076,0.6804
5,500,diverse,0.9709118085861206,0.704
6,500,diverse,1.011327431678772,0.6745
7,500,diverse,0.9786469653129578,0.7149
8,500,diverse,0.9455530279159546,0.7042
9,500,diverse,0.9639817245483399,0.7095
10,500,similar,1.5581606239318848,0.6097
11,500,similar,1.4746468744277954,0.594
12,500,similar,1.4369586793899536,0.6289
13,500,similar,2.107612703895569,0.5506
14,500,similar,1.5799011003494263,0.5673
15,500,similar,1.4224712501525878,0.5822
16,500,similar,2.1766355655670164,0.5123
17,500,similar,2.052841079711914,0.5372
18,500,similar,1.8371150283813475,0.5273
19,500,similar,1.6618833618164062,0.5925
20,500,random,0.8497779908180236,0.7043
21,500,random,0.786000440788269,0.7325
22,500,random,0.8188594290733338,0.7338
23,500,random,0.8431306067466736,0.7166
24,500,random,0.820864419555664,0.7434
25,500,random,0.8389106515884399,0.7179
26,500,random,0.8682479445457458,0.7005
27,500,random,0.8068239579200744,0.7264
28,500,random,0.827092000579834,0.7199
29,500,random,0.8206088980674744,0.7229
0,250,diverse,1.2557383781433105,0.6208
1,250,diverse,1.0950583347320557,0.6193
2,250,diverse,1.0826093407630921,0.637
3,250,diverse,1.0801809551239014,0.6859
4,250,diverse,1.2804296411514282,0.6095
5,250,diverse,1.1558728799819946,0.6423
6,250,diverse,1.0834849185943602,0.6442
7,250,diverse,1.0872763442993163,0.6289
8,250,diverse,1.3356980390548705,0.6012
9,250,diverse,1.1597665288925172,0.6378
10,250,similar,2.225240198326111,0.5257
11,250,similar,2.121742634010315,0.3914
12,250,similar,1.7513783908843994,0.449
13,250,similar,2.0981455615997313,0.5251
14,250,similar,2.4224533603668212,0.4897
15,250,similar,1.9433602487564088,0.5021
16,250,similar,2.3222878871917723,0.4378
17,250,similar,2.0765877376556396,0.4602
18,250,similar,2.4438235740661622,0.4468
19,250,similar,2.2625893800735475,0.4956
20,250,random,1.2030533597946167,0.5737
21,250,random,0.9619581965446472,0.664
22,250,random,1.1939742671966553,0.5782
23,250,random,0.9916638589859009,0.6735
24,250,random,1.12096457157135,0.6169
25,250,random,0.9912315254211426,0.6432
26,250,random,0.9725316542625427,0.694
27,250,random,1.0175151620864868,0.639
28,250,random,0.9821868308067322,0.6556
29,250,random,0.9987817023277282,0.6502
0,200,diverse,1.1078487062454223,0.6383
1,200,diverse,1.1082821354866028,0.6345
2,200,diverse,1.294065439414978,0.6521
3,200,diverse,1.1490767163276672,0.6219
4,200,diverse,1.2043796407699585,0.5814
5,200,diverse,1.282627428627014,0.605
6,200,diverse,1.0999773170471192,0.6522
7,200,diverse,1.1638925117492676,0.6072
8,200,diverse,1.0948604610443116,0.6298
9,200,diverse,1.2136044597625733,0.6272
10,200,similar,2.163803796005249,0.4301
11,200,similar,2.5638223339080812,0.4662
12,200,similar,1.9280708711624146,0.5197
13,200,similar,2.1161981628417967,0.4816
14,200,similar,2.464711721801758,0.4611
15,200,similar,2.2419428239822388,0.4651
16,200,similar,2.9334600234985353,0.4261
17,200,similar,2.201863158416748,0.4467
18,200,similar,2.5194689476013186,0.4654
19,200,similar,2.2912635187149046,0.4744
20,200,random,1.1190754070281983,0.6154
21,200,random,0.9778277969360352,0.6726
22,200,random,1.1098595947265626,0.6317
23,200,random,1.121944856452942,0.6172
24,200,random,1.02718165473938,0.6464
25,200,random,1.0912397406578065,0.6474
26,200,random,1.0202520592689515,0.6466
27,200,random,1.014929653930664,0.6471
28,200,random,0.9849295865058899,0.6839
29,200,random,1.0578531032562255,0.6319
0,100,diverse,1.4777754472732545,0.5027
1,100,diverse,1.3196771537780763,0.5579
2,100,diverse,1.2564156858444213,0.5426
3,100,diverse,1.3261218564987183,0.574
4,100,diverse,1.3880462390899657,0.5455
