,train_size,train_set_type,accuracy,loss
0,500,random,0.7309,0.8049301958084106
1,500,random,0.7375,0.8473070138931275
2,500,random,0.7279,0.8128155485153198
3,500,random,0.729,0.787552889251709
4,500,random,0.736,0.8157611161231995
5,500,random,0.7055,0.8472175442695618
6,500,random,0.7086,0.8459097341537476
7,500,random,0.6897,0.8802996416091919
8,500,random,0.7101,0.8441490427017212
9,500,random,0.7045,0.8529412648200989
10,250,random,0.6554,1.0004988330841065
11,250,random,0.6091,1.0989125467300416
12,250,random,0.6392,1.0481179719924927
13,250,random,0.6618,0.9542622718811035
14,250,random,0.6505,0.972746735572815
15,250,random,0.6632,0.9768871143341065
16,250,random,0.6674,1.0410607617378236
17,250,random,0.6537,1.0119474598884584
18,250,random,0.6542,0.9789518966674805
19,250,random,0.6449,1.065087076473236
20,200,random,0.6722,1.0510823663711548
21,200,random,0.6392,1.0339244375228882
22,200,random,0.6602,1.054568850517273
23,200,random,0.651,1.0118511952400207
24,200,random,0.6252,1.0621023805618286
25,200,random,0.6308,1.057699733734131
26,200,random,0.676,0.9495530805587769
27,200,random,0.6561,1.0014112592697144
28,200,random,0.5918,1.1487179485321044
29,200,random,0.6263,1.0762406145095824
30,100,random,0.6038,1.1798108762741089
31,100,random,0.5768,1.2137093313217162
32,100,random,0.57,1.259461304664612
33,100,random,0.5271,1.2983170585632324
34,100,random,0.5677,1.2062568231582642
35,100,random,0.5544,1.3270751956939697
36,100,random,0.5732,1.2399935192108154
37,100,random,0.529,1.322747003555298
38,100,random,0.5466,1.28222711353302
39,100,random,0.4811,1.438821342277527
40,80,random,0.5096,1.370161430168152
41,80,random,0.525,1.3405759395599366
42,80,random,0.5961,1.1804387571334838
43,80,random,0.5377,1.3087646493911742
44,80,random,0.5291,1.3482297672271728
45,80,random,0.5545,1.2711613327026368
46,80,random,0.5801,1.2286454555511475
47,80,random,0.526,1.334637134552002
48,80,random,0.5128,1.3652290996551513
49,80,random,0.5273,1.3214357673645019
50,60,random,0.5293,1.363762938117981
51,60,random,0.5417,1.4353831562042236
52,60,random,0.4777,1.457069086265564
53,60,random,0.5424,1.314919327354431
54,60,random,0.4795,1.4597127096176148
55,60,random,0.5147,1.3793322309494018
56,60,random,0.5186,1.3420108446121215
57,60,random,0.5371,1.4168206161499024
58,60,random,0.5064,1.4050210081100465
59,60,random,0.5374,1.404009303665161
60,40,random,0.464,1.5514777397155761
61,40,random,0.5215,1.4458658590316773
62,40,random,0.4464,1.537176412010193
63,40,random,0.3731,1.789776819229126
64,40,random,0.4295,1.55294238986969
65,40,random,0.3991,1.6978053974151612
66,40,random,0.4468,1.5197974382400512
67,40,random,0.316,1.9330220783233643
68,40,random,0.5019,1.5006416009902954
69,40,random,0.4051,1.656703245162964
70,20,random,0.3608,1.7638371948242189
71,20,random,0.2976,1.9624489654541015
72,20,random,0.3731,1.7974501251220703
73,20,random,0.3091,1.8980209716796874
74,20,random,0.3698,1.7913560392379761
75,20,random,0.2946,1.9568474597930907
76,20,random,0.3325,1.8809422855377198
77,20,random,0.3666,1.7203120445251465
78,20,random,0.332,1.8278560626983642
79,20,random,0.3482,1.8733497005462647
80,10,random,0.3128,1.972298263168335
81,10,random,0.2286,2.0854711021423338
82,10,random,0.3285,1.8863393711090088
83,10,random,0.2918,2.0042406286239625
84,10,random,0.2492,2.1127485569000246
85,10,random,0.2462,2.112886856842041
86,10,random,0.2525,2.0479516021728514
87,10,random,0.297,1.9483554958343505
88,10,random,0.2701,1.9524155433654786
89,10,random,0.2819,2.024841452407837
90,500,random by cluster,0.7281,0.7944310940742493
91,500,random by cluster,0.7288,0.8058579252243042
92,500,random by cluster,0.7194,0.8217035999298096
93,500,random by cluster,0.7069,0.8445651523590088
94,500,random by cluster,0.7243,0.825472015619278
95,500,random by cluster,0.7095,0.8309481704711914
96,500,random by cluster,0.747,0.7925436700344086
97,500,random by cluster,0.7204,0.8186135488510132
98,500,random by cluster,0.7335,0.7989305971145629
99,500,random by cluster,0.7209,0.8457476976394653
100,250,random by cluster,0.6332,1.0740697157859802
101,250,random by cluster,0.6368,1.029779444694519
102,250,random by cluster,0.6824,0.9930752191543579
103,250,random by cluster,0.6435,1.022939262008667
104,250,random by cluster,0.6303,1.056522449874878
105,250,random by cluster,0.6714,0.9857483337402344
106,250,random by cluster,0.6639,0.9726332325935364
107,250,random by cluster,0.6485,1.0553864272117615
108,250,random by cluster,0.6694,0.9704618338584899
109,250,random by cluster,0.5508,1.2720333227157592
110,200,random by cluster,0.645,1.017337038230896
111,200,random by cluster,0.6616,1.00137676448822
112,200,random by cluster,0.6791,0.9889681613922119
113,200,random by cluster,0.6613,1.0081326815605163
114,200,random by cluster,0.6172,1.121565881538391
115,200,random by cluster,0.6807,0.9307131594657898
116,200,random by cluster,0.6301,1.0469302785873413
117,200,random by cluster,0.6587,0.9990242322921753
118,200,random by cluster,0.6285,1.0332096534729003
119,200,random by cluster,0.6364,1.076015350151062
120,100,random by cluster,0.5573,1.2361825660705565
121,100,random by cluster,0.6074,1.3194627281188964
122,100,random by cluster,0.4766,1.4832117637634277
123,100,random by cluster,0.6204,1.1957277570724487
124,100,random by cluster,0.607,1.1697855579376222
125,100,random by cluster,0.5006,1.381554539871216
126,100,random by cluster,0.5762,1.203899492073059
127,100,random by cluster,0.5865,1.2406860322952271
128,100,random by cluster,0.5917,1.2504410976409912
129,100,random by cluster,0.5958,1.1953037109375
130,80,random by cluster,0.518,1.3808387161254883
131,80,random by cluster,0.5635,1.2391825481414795
132,80,random by cluster,0.5639,1.2517766954421996
