,train_size,train_set_type,loss,accuracy
0,500,diverse,0.8789836510658264,0.7076
1,500,diverse,0.8292775015830993,0.7126
2,500,diverse,0.8794041666984558,0.6953
3,500,diverse,0.86705924243927,0.7055
4,500,diverse,0.9643862639427185,0.6604
5,500,diverse,0.871655205821991,0.6969
6,500,diverse,0.7971908218383789,0.7311
7,500,diverse,0.8856632995605469,0.6977
8,500,diverse,0.9016091785430909,0.7052
9,500,diverse,0.9204683261871338,0.6809
10,500,similar,2.2683420541763306,0.5767
11,500,similar,1.5365066524505615,0.558
12,500,similar,1.2722898736953736,0.6143
13,500,similar,1.6526796661376952,0.5709
14,500,similar,1.5940450273513793,0.5987
15,500,similar,1.5452859954833984,0.5685
16,500,similar,1.9865875027656554,0.5766
17,500,similar,1.7127724027633666,0.5389
18,500,similar,1.7438322998046876,0.5553
19,500,similar,1.5883989929199218,0.5334
20,500,random,0.8408587979316712,0.746
21,500,random,0.7937129530906677,0.7321
22,500,random,0.8862583862304687,0.7084
23,500,random,0.843274310207367,0.7152
24,500,random,0.8629938475608826,0.7111
25,500,random,0.8093417275428771,0.7257
26,500,random,0.9707492654800415,0.6568
27,500,random,0.8275303731918335,0.7284
28,500,random,0.869596486377716,0.7187
29,500,random,0.8484968043327331,0.7188
0,250,diverse,1.0786807382583619,0.6257
1,250,diverse,1.0618110801696776,0.6307
2,250,diverse,1.1960292917251587,0.5726
3,250,diverse,1.2010816093444825,0.5724
4,250,diverse,1.1332193130493164,0.612
5,250,diverse,1.0812990016937256,0.6204
6,250,diverse,1.0460163948059082,0.6442
7,250,diverse,1.078812236213684,0.6276
8,250,diverse,1.0607337047576904,0.6281
9,250,diverse,1.1313643112182616,0.6126
10,250,similar,1.8907094760894776,0.5187
11,250,similar,2.1707837827682495,0.5141
12,250,similar,2.995046725463867,0.3742
13,250,similar,1.781146011543274,0.464
14,250,similar,1.7406329036712647,0.467
15,250,similar,1.9335685508728027,0.4241
16,250,similar,2.2338222969055175,0.4774
17,250,similar,1.8604326280593873,0.452
18,250,similar,2.6256117336273195,0.4375
19,250,similar,2.2457031700134276,0.4415
20,250,random,1.0771912282943725,0.6371
21,250,random,0.9859126726150512,0.6635
22,250,random,0.9880969053268432,0.6537
23,250,random,0.9855153665542603,0.6594
24,250,random,0.9953564482688904,0.6702
25,250,random,1.0010765030860902,0.657
26,250,random,0.9697540702819825,0.6801
27,250,random,1.049231721496582,0.6348
28,250,random,0.9381109657287597,0.6835
29,250,random,1.0211089438438417,0.6842
0,200,diverse,1.1926533576965332,0.5862
1,200,diverse,1.1129563484191896,0.6275
2,200,diverse,1.1339810884475707,0.6017
3,200,diverse,1.1488176349639894,0.5947
4,200,diverse,1.205697749710083,0.5794
5,200,diverse,1.1215540424346924,0.6036
6,200,diverse,1.2036422170639038,0.5827
7,200,diverse,1.116474002456665,0.6045
8,200,diverse,1.2432281457901,0.5632
9,200,diverse,1.0459727851867675,0.6435
10,200,similar,1.7448389970779419,0.4604
11,200,similar,3.858453898239136,0.4199
12,200,similar,2.680870399093628,0.4077
13,200,similar,2.5679944664001466,0.437
14,200,similar,2.6601886199951172,0.4026
15,200,similar,3.1268411083221435,0.3784
16,200,similar,2.1978871662139894,0.4692
17,200,similar,2.130187159729004,0.4523
18,200,similar,2.8095199207305908,0.4604
19,200,similar,2.280727268600464,0.4546
20,200,random,1.020855968093872,0.6408
21,200,random,1.0624294347763061,0.6198
22,200,random,1.0028033237457274,0.6463
23,200,random,1.0612538490295411,0.6441
24,200,random,1.0670828639984131,0.643
25,200,random,1.1115149096488952,0.6602
26,200,random,1.065810048675537,0.6344
27,200,random,1.1590020505905152,0.6075
28,200,random,1.0569983835220338,0.6309
29,200,random,1.0735602203369141,0.6345
0,100,diverse,1.349209652519226,0.5355
1,100,diverse,1.422841614341736,0.5002
2,100,diverse,1.564022615814209,0.4462
3,100,diverse,1.6429835224151612,0.4275
4,100,diverse,1.471725821685791,0.4638
5,100,diverse,1.6980661998748778,0.3805
6,100,diverse,1.5597654190063477,0.4376
7,100,diverse,1.428144842338562,0.4865
8,100,diverse,1.463085242652893,0.4773
9,100,diverse,1.5548796627044679,0.4392
10,100,similar,2.3721500263214113,0.4061
11,100,similar,2.4323333667755125,0.3802
12,100,similar,2.6526493930816653,0.4197
13,100,similar,1.8872696002960205,0.3934
14,100,similar,2.558474952316284,0.4714
15,100,similar,2.388833684539795,0.4347
16,100,similar,2.031385849761963,0.3943
17,100,similar,2.2510797500610353,0.4375
18,100,similar,3.315082458114624,0.3931
19,100,similar,2.2948121814727784,0.4452
20,100,random,1.2855862060546874,0.5724
21,100,random,1.2144578517913818,0.5736
22,100,random,1.2181093481063843,0.5959
