,train_size,train_set_type,accuracy,loss
0,150,random,0.5836,1.27308830909729
1,150,random,0.6314,1.4461085289001465
2,150,random,0.6123,1.1619249641418457
3,150,random,0.5857,1.3702693586349488
4,150,random,0.595,1.5794295335769652
5,150,random,0.6045,1.7525785474777222
6,150,random,0.6227,1.3683073438644409
7,150,random,0.4988,1.715123119354248
8,150,random,0.5918,1.5978896633148194
9,150,random,0.5955,1.5047927993774415
10,100,random,0.5461,1.6074007384300233
11,100,random,0.6088,1.4095867547988892
12,100,random,0.5761,1.6065971557617187
13,100,random,0.592,1.6608583921432496
14,100,random,0.6089,1.5803462865829467
15,100,random,0.5766,1.381038689994812
16,100,random,0.5729,1.5155108858108521
17,100,random,0.6121,1.5373289107322692
18,100,random,0.5617,1.7022219820022584
19,100,random,0.5038,1.7319983772277832
20,80,random,0.5552,1.708437912940979
21,80,random,0.4842,1.5099792587280274
22,80,random,0.5389,1.641525046157837
23,80,random,0.556,1.7242192977905273
24,80,random,0.5974,1.4558220074653625
25,80,random,0.5628,1.944881733894348
26,80,random,0.6063,1.4456297534942626
27,80,random,0.5618,1.272992859840393
28,80,random,0.5784,1.5010106441497804
29,80,random,0.561,1.8927034620285035
30,60,random,0.5114,1.6546162677764893
31,60,random,0.5361,1.6126257661819459
32,60,random,0.4989,1.8371276666641236
33,60,random,0.4461,1.9370987232208252
34,60,random,0.5546,1.6104477647781372
35,60,random,0.4556,1.7317684045791626
36,60,random,0.4979,1.560875925064087
37,60,random,0.5147,1.5759787696838379
38,60,random,0.4772,1.7275739603042604
39,60,random,0.4419,2.08507463684082
40,40,random,0.5326,1.8877642742156981
41,40,random,0.5165,1.6994590032577515
42,40,random,0.5068,1.7275144701004028
43,40,random,0.4101,1.7349608283996583
44,40,random,0.4609,1.8210186626434326
45,40,random,0.4962,1.6455879350662233
46,40,random,0.4728,1.695115994644165
47,40,random,0.4171,2.03930349445343
48,40,random,0.4722,1.8554160636901855
49,40,random,0.4437,1.8750579948425292
50,20,random,0.3017,2.1247208137512206
51,20,random,0.3315,2.0249566452026366
52,20,random,0.2943,2.036443539428711
53,20,random,0.281,2.0129837699890136
54,20,random,0.3934,1.8553070665359497
55,20,random,0.3484,2.142099210739136
56,20,random,0.3675,2.246400910568237
57,20,random,0.2833,2.1715305500030517
58,20,random,0.3077,2.0936452781677244
59,20,random,0.1865,2.893238454437256
60,10,random,0.296,2.0498757579803466
61,10,random,0.2484,2.2764259288787843
62,10,random,0.1683,3.393826180267334
63,10,random,0.2478,2.1266841873168945
64,10,random,0.248,2.2895006015777586
65,10,random,0.2755,2.658546125030518
66,10,random,0.2327,3.2405848781585695
67,10,random,0.2058,2.350953461074829
68,10,random,0.2967,2.2123924995422364
69,10,random,0.2054,2.600835124206543
70,150,random by cluster,0.551,1.6731601066589354
71,150,random by cluster,0.6411,1.442534461593628
72,150,random by cluster,0.5997,1.2823931730270386
73,150,random by cluster,0.6063,1.7773175994873047
74,150,random by cluster,0.6077,1.499378302001953
75,150,random by cluster,0.6106,1.2942805459976197
76,150,random by cluster,0.5973,1.4757578006744385
77,150,random by cluster,0.6588,1.6592907836914061
78,150,random by cluster,0.6506,1.4698117312431336
79,150,random by cluster,0.5819,1.4028079374313354
80,100,random by cluster,0.6061,1.5380705308914184
81,100,random by cluster,0.4289,1.5436285173416138
82,100,random by cluster,0.5556,1.7067015552520752
83,100,random by cluster,0.5688,1.6030967237472533
84,100,random by cluster,0.4336,1.7588960784912109
85,100,random by cluster,0.5885,1.4242205522537232
86,100,random by cluster,0.5935,1.5407316818237304
87,100,random by cluster,0.6011,1.569479736328125
88,100,random by cluster,0.4822,1.6511183000564575
89,100,random by cluster,0.5571,1.4957440729141236
90,80,random by cluster,0.4949,1.4594064888000489
