,train_size,train_set_type,accuracy,loss
0,150,random,0.6276,1.3218034251213073
1,150,random,0.6445,1.2916986917495727
2,150,random,0.6324,1.3068678600311279
3,150,random,0.6506,1.14457429895401
4,150,random,0.5511,1.3649589044570922
5,150,random,0.5615,1.4109921516418458
6,150,random,0.6169,1.4393948904037475
7,150,random,0.6495,1.3033274622917175
8,150,random,0.5499,1.3879095962524415
9,150,random,0.622,1.1949289518356323
10,100,random,0.5629,1.4027560634613037
11,100,random,0.4269,1.623391893196106
12,100,random,0.5418,1.4894726484298706
13,100,random,0.5352,1.4368519403457642
14,100,random,0.5036,1.6997599979400635
15,100,random,0.592,1.6057554409980774
16,100,random,0.5607,1.391653586769104
17,100,random,0.61,1.5282729265213013
18,100,random,0.5895,1.4510536066055297
19,100,random,0.5189,1.4790680631637574
20,80,random,0.5709,1.6455371988296508
21,80,random,0.575,1.476501565361023
22,80,random,0.5507,1.4133879159927367
23,80,random,0.5958,1.4857822439193726
24,80,random,0.6041,1.712727042388916
25,80,random,0.528,1.5466274351119995
26,80,random,0.5447,1.5274834327697755
27,80,random,0.5682,1.608771110534668
28,80,random,0.5555,1.5977449098587035
29,80,random,0.5065,1.5598130714416505
30,60,random,0.5196,1.4168128295898437
31,60,random,0.5462,1.5897934587478637
32,60,random,0.4603,1.9115013442993165
33,60,random,0.5106,1.4706909769058227
34,60,random,0.5232,1.5410065166473388
35,60,random,0.4649,1.8080237140655517
36,60,random,0.5047,1.8410894565582276
37,60,random,0.5503,1.5628684129714965
38,60,random,0.5661,1.6665847816467285
39,60,random,0.4782,1.604559370803833
40,40,random,0.4941,1.724863060760498
41,40,random,0.5302,1.6400592164993286
42,40,random,0.4807,1.6674783946990968
43,40,random,0.4431,2.002836236953735
44,40,random,0.4966,1.8333326402664185
45,40,random,0.4896,2.1696451110839843
46,40,random,0.421,2.0524904190063475
47,40,random,0.4605,1.7933055995941163
48,40,random,0.4884,1.697458593940735
49,40,random,0.4876,1.9537713552474976
50,20,random,0.2804,2.598717151641846
51,20,random,0.2946,2.1203013622283935
52,20,random,0.2761,2.1696932361602785
53,20,random,0.2708,2.009623066329956
54,20,random,0.3701,1.9711452980041504
55,20,random,0.2968,2.062066136932373
56,20,random,0.324,1.9631306324005127
57,20,random,0.2447,2.1755819095611573
58,20,random,0.2932,2.049782428741455
59,20,random,0.3772,1.7708178228378295
60,10,random,0.2925,2.473311513900757
61,10,random,0.2398,2.671237026977539
62,10,random,0.2524,2.7008552242279054
63,10,random,0.2941,2.0507482543945312
64,10,random,0.3013,2.1919289918899536
65,10,random,0.1822,4.574160317230224
66,10,random,0.2402,2.381010767364502
67,10,random,0.273,2.329242165374756
68,10,random,0.2075,2.6125843856811524
69,10,random,0.1916,2.762014141082764
70,150,random by cluster,0.6071,1.2054951610565185
71,150,random by cluster,0.5789,1.3471941389083861
72,150,random by cluster,0.5786,1.3408754680633546
73,150,random by cluster,0.584,1.4156560020446778
74,150,random by cluster,0.5967,1.344771856689453
75,150,random by cluster,0.612,1.3169424416542053
76,150,random by cluster,0.6225,1.25994232711792
77,150,random by cluster,0.6057,1.2525338801383972
78,150,random by cluster,0.6065,1.3259515047073365
79,150,random by cluster,0.6377,1.3384016386032105
80,100,random by cluster,0.463,1.8987549659729004
81,100,random by cluster,0.5456,1.5215394094467163
82,100,random by cluster,0.5556,1.66678898563385
83,100,random by cluster,0.5027,1.597741174697876
84,100,random by cluster,0.6113,1.499527829170227
85,100,random by cluster,0.5461,1.607261702156067
86,100,random by cluster,0.5219,1.491711623764038
87,100,random by cluster,0.5829,1.6527536808013916
88,100,random by cluster,0.5302,1.766602200317383
89,100,random by cluster,0.5668,1.860797247505188
90,80,random by cluster,0.5643,1.5321284210205077
91,80,random by cluster,0.5782,1.4772183042526246
92,80,random by cluster,0.5884,1.8925922792434693
93,80,random by cluster,0.5211,1.5414413635253905
94,80,random by cluster,0.5894,1.5011973340988158
