,train_size,train_set_type,accuracy,loss
0,10,random,0.2379,2.1101363964080813
1,10,random,0.219,2.7664738651275633
2,10,random,0.3158,2.207575606918335
3,10,random,0.2565,2.1664774356842043
4,10,random,0.3024,2.096466329956055
5,10,random,0.3063,2.1444618896484373
6,10,random,0.101,2.303888288497925
7,10,random,0.2331,2.428318298339844
8,10,random,0.2583,2.373605345535278
9,10,random,0.2465,2.6602210735321044
10,20,random,0.3344,1.8714860862731935
11,20,random,0.2969,2.158197025871277
12,20,random,0.3435,1.919962622833252
13,20,random,0.2946,1.9471502613067626
14,20,random,0.2981,1.9913874225616455
15,20,random,0.3389,2.1396648986816404
16,20,random,0.2967,1.9280730852127075
17,20,random,0.3698,1.8796280376434327
18,20,random,0.298,1.9955775291442872
19,20,random,0.317,2.0475086486816405
20,40,random,0.3717,2.0706476036071777
21,40,random,0.4283,1.8519564323425293
22,40,random,0.5004,1.6653722457885742
23,40,random,0.4322,1.8058350448608398
24,40,random,0.494,1.6177839990615845
25,40,random,0.4409,1.7387307422637939
26,40,random,0.4935,1.700346619606018
27,40,random,0.3841,1.9004283504486084
28,40,random,0.5217,1.6618057851791381
29,40,random,0.4719,1.870037661743164
30,60,random,0.5059,1.5142936019897462
31,60,random,0.4144,1.6668658008575439
32,60,random,0.4893,1.6087741367340087
33,60,random,0.497,1.7494773714065552
34,60,random,0.5227,1.7305611513137817
35,60,random,0.4903,1.5996542963027953
36,60,random,0.5611,1.7602070890426635
37,60,random,0.5265,1.5262022054672242
38,60,random,0.4805,1.7330580850601196
39,60,random,0.3876,1.8295838361740113
40,80,random,0.5619,1.4005946769714355
41,80,random,0.5672,1.3731173286437988
42,80,random,0.5562,1.36295042552948
43,80,random,0.5708,1.285973013496399
44,80,random,0.5634,1.3012427341461181
45,80,random,0.5395,1.4085839944839478
46,80,random,0.4722,1.6450032876968383
47,80,random,0.5112,1.4883815216064453
48,80,random,0.5468,1.3205372917175293
49,80,random,0.537,1.5418797561645508
50,100,random,0.5848,1.2811270076751708
51,100,random,0.5921,1.223089832496643
52,100,random,0.5592,1.296627286720276
53,100,random,0.5965,1.4248537524223328
54,100,random,0.5503,1.3023178270339966
55,100,random,0.5421,1.4088851943969727
56,100,random,0.5931,1.4002930934906006
57,100,random,0.59,1.355132586479187
58,100,random,0.5743,1.3825730319976806
59,100,random,0.563,1.3698681900024414
60,200,random,0.6501,1.0598600289344788
61,200,random,0.6708,1.0821172545433044
62,200,random,0.6216,1.1108077629089355
63,200,random,0.6103,1.1978700357437133
64,200,random,0.6662,1.1040215950965881
65,200,random,0.6243,1.247635312461853
66,200,random,0.6268,1.0969523325920105
67,200,random,0.6646,1.3318670063972473
68,200,random,0.5782,1.231749542236328
69,200,random,0.674,1.0406106687545775
70,250,random,0.6679,1.0983259565353394
71,250,random,0.6502,1.1138046876907348
72,250,random,0.6233,1.2505503834724425
73,250,random,0.674,1.1212396969795226
74,250,random,0.6399,1.179893603515625
75,250,random,0.6116,1.1834800323486327
76,250,random,0.6726,1.105203264427185
77,250,random,0.6408,1.1518127816200256
78,250,random,0.6465,1.034457371902466
79,250,random,0.5879,1.343400890636444
80,500,random,0.7143,0.8989670059204101
81,500,random,0.641,1.1525669635772704
82,500,random,0.7384,0.9129604344367981
83,500,random,0.7184,0.9431930166244507
84,500,random,0.727,0.9333756339073181
85,500,random,0.7093,0.9197632882118225
86,500,random,0.7182,0.9046284626007081
87,500,random,0.6805,1.0804514716148377
88,500,random,0.7479,0.8387184492111206
89,500,random,0.6879,0.9564692311286926
90,10,random by cluster,0.2951,2.196570375061035
91,10,random by cluster,0.2153,2.27917745552063
92,10,random by cluster,0.2395,2.731111940765381
93,10,random by cluster,0.2338,2.5591669746398926
94,10,random by cluster,0.1386,2.2754512718200686
95,10,random by cluster,0.2581,2.100994771194458
96,10,random by cluster,0.2066,3.4710767143249512
97,10,random by cluster,0.2001,2.724409958267212
98,10,random by cluster,0.2978,2.165198847198486
99,10,random by cluster,0.1433,3.2445863388061524
100,20,random by cluster,0.2908,2.0838708793640137
101,20,random by cluster,0.1936,3.0247784790039063
102,20,random by cluster,0.3048,1.9251528324127196
103,20,random by cluster,0.2346,2.80641752204895
104,20,random by cluster,0.3726,1.8737305061340332
105,20,random by cluster,0.3171,1.9879307167053222
106,20,random by cluster,0.306,2.0300294359207154
107,20,random by cluster,0.3885,2.187670428466797
108,20,random by cluster,0.3453,2.0093558864593506
109,20,random by cluster,0.3215,2.180427333831787
110,40,random by cluster,0.4854,1.7291550943374634
111,40,random by cluster,0.4543,1.883659181022644
112,40,random by cluster,0.4031,1.8683706775665283
113,40,random by cluster,0.4866,1.6418896457672119
114,40,random by cluster,0.4893,1.635468437385559
115,40,random by cluster,0.4441,2.1727191158294676
116,40,random by cluster,0.4408,1.7981293170928956
117,40,random by cluster,0.5255,1.7997793561935425
118,40,random by cluster,0.4418,1.7369638607025146
119,40,random by cluster,0.4402,1.776277310562134
120,60,random by cluster,0.4076,1.624943306350708
121,60,random by cluster,0.5443,1.4802047328948975
122,60,random by cluster,0.5011,1.5533759174346924
123,60,random by cluster,0.4709,1.6126643501281739
124,60,random by cluster,0.5119,2.020039295578003
125,60,random by cluster,0.4904,1.5077171014785766
126,60,random by cluster,0.4713,1.6763380737304687
127,60,random by cluster,0.5428,1.5277784984588623
128,60,random by cluster,0.5027,1.5631934816360473
129,60,random by cluster,0.4217,1.6491997100830078
130,80,random by cluster,0.6058,1.6022021360397338
131,80,random by cluster,0.5357,1.405109761238098
132,80,random by cluster,0.477,1.463778049659729
133,80,random by cluster,0.4977,1.7602454948425292
134,80,random by cluster,0.5591,1.4669092235565186
135,80,random by cluster,0.4198,1.7179687885284425
136,80,random by cluster,0.5719,1.338691743850708
137,80,random by cluster,0.5525,1.5132636121749878
138,80,random by cluster,0.5685,1.3715078693389893
139,80,random by cluster,0.5119,1.5192145893096924
140,100,random by cluster,0.328,2.1162963172912597
141,100,random by cluster,0.5622,1.387942080116272
142,100,random by cluster,0.5735,1.3535104646682738
143,100,random by cluster,0.5487,1.4352625745773315
144,100,random by cluster,0.6136,1.2306067606925963
145,100,random by cluster,0.4748,1.9523693225860597
146,100,random by cluster,0.5813,1.3064890743255615
147,100,random by cluster,0.588,1.3478629142761231
148,100,random by cluster,0.5685,1.306154404258728
149,100,random by cluster,0.5787,1.4489349527359008
150,200,random by cluster,0.6619,1.0222654084205627
151,200,random by cluster,0.6202,1.1922635065078735
152,200,random by cluster,0.6425,1.0811919521331788
153,200,random by cluster,0.6198,1.215605143070221
154,200,random by cluster,0.6719,1.1671383537292481
155,200,random by cluster,0.6451,1.0867915459632873
156,200,random by cluster,0.6517,1.158388575553894
157,200,random by cluster,0.6594,1.1857463981628418
158,200,random by cluster,0.6614,1.1462171818733216
159,200,random by cluster,0.6297,1.3173302552223205
160,250,random by cluster,0.6588,1.0171104998588563
161,250,random by cluster,0.6667,1.0848026572227478
162,250,random by cluster,0.6738,1.088673823928833
163,250,random by cluster,0.6189,1.3178617275238038
164,250,random by cluster,0.6546,1.09557252368927
165,250,random by cluster,0.6238,1.1177052033424377
166,250,random by cluster,0.6397,1.2387958505630494
167,250,random by cluster,0.6762,1.042535938167572
168,250,random by cluster,0.6411,1.1901777536392213
169,250,random by cluster,0.6014,1.2488614797592164
170,500,random by cluster,0.7113,0.9528965686798095
171,500,random by cluster,0.7062,0.8933648586273193
172,500,random by cluster,0.7162,0.9082510248184205
173,500,random by cluster,0.7169,1.0941066067695617
174,500,random by cluster,0.6366,1.0957853197097778
175,500,random by cluster,0.7165,0.90306595287323
176,500,random by cluster,0.717,0.8645534523010254
177,500,random by cluster,0.709,0.9004892322540283
178,500,random by cluster,0.6987,0.9009651525497436
