,train_size,train_set_type,accuracy,loss
0,150,random,0.6196,1.3476318016052247
1,150,random,0.6332,1.3121751740455627
2,150,random,0.6141,1.2476587289810182
3,150,random,0.5711,1.4746507474899293
4,150,random,0.6526,1.4447301765441896
5,150,random,0.6533,1.157305172252655
6,150,random,0.6026,1.5589752592086792
7,150,random,0.6023,1.2647889401435852
8,150,random,0.6488,1.4277463661193848
9,150,random,0.624,1.3983790464401245
10,100,random,0.5592,1.404769181251526
11,100,random,0.4802,1.7045341751098633
12,100,random,0.5697,1.4571789644241333
13,100,random,0.6113,1.4463493377685548
14,100,random,0.5819,1.4668264070510864
15,100,random,0.5451,1.390474954032898
16,100,random,0.4468,1.7860539220809937
17,100,random,0.5772,1.6902909860610962
18,100,random,0.5669,1.6154121974945068
19,100,random,0.5687,1.3258520071029662
20,80,random,0.5704,1.4566190423965455
21,80,random,0.5652,1.3072784830093385
22,80,random,0.5608,1.3294918388366699
23,80,random,0.5507,1.436170976448059
24,80,random,0.5334,1.4175792840957642
25,80,random,0.5639,1.4497477968215942
26,80,random,0.5797,1.4015745992660522
27,80,random,0.556,1.5205409105300904
28,80,random,0.581,1.6057077590942384
29,80,random,0.5324,1.4632460315704345
30,60,random,0.4497,1.5750824155807495
31,60,random,0.5398,1.5067563688278198
32,60,random,0.5216,1.759373295211792
33,60,random,0.5594,1.8475614849090576
34,60,random,0.5557,1.728090615463257
35,60,random,0.5487,1.5545536685943604
36,60,random,0.5009,1.5638407936096193
37,60,random,0.512,1.549280854988098
38,60,random,0.5394,1.6893685821533204
39,60,random,0.5348,1.6916906963348388
40,40,random,0.4632,1.7926421955108642
41,40,random,0.4811,1.7667119331359864
42,40,random,0.4835,1.5561668104171753
43,40,random,0.3953,1.721512815284729
44,40,random,0.4766,1.711413509941101
45,40,random,0.4811,1.7225390668869018
46,40,random,0.4788,1.7363863441467284
47,40,random,0.5405,1.7275999235153199
48,40,random,0.4712,1.8977814613342285
49,40,random,0.5015,1.527723215866089
50,20,random,0.4088,1.7163365217208861
51,20,random,0.3356,2.0419005184173584
52,20,random,0.2962,2.3550781803131104
53,20,random,0.24,2.018302083206177
54,20,random,0.4167,2.3124219425201415
55,20,random,0.3556,2.3649198055267333
56,20,random,0.3255,2.012261764526367
57,20,random,0.3545,2.845705419921875
58,20,random,0.2751,2.0430400218963625
59,20,random,0.3222,2.2100418575286866
60,10,random,0.2817,2.3934732513427734
61,10,random,0.3026,1.9980807865142822
62,10,random,0.213,2.527847120666504
63,10,random,0.2251,2.500083497238159
64,10,random,0.2858,2.76219451713562
65,10,random,0.2753,2.267634120941162
66,10,random,0.2716,2.18579552192688
67,10,random,0.2569,2.3555239711761473
68,10,random,0.2013,2.5503444366455077
69,10,random,0.2721,2.5440176216125487
70,150,one image per cluster,0.6094,1.32031503200531
71,150,one image per cluster,0.6623,1.2446251739501952
72,150,one image per cluster,0.6048,1.316215986442566
73,150,one image per cluster,0.5997,1.2643656126022338
74,150,one image per cluster,0.5344,1.4789915950775145
75,150,one image per cluster,0.6352,1.18510396566391
76,150,one image per cluster,0.5089,1.4386928758621216
77,150,one image per cluster,0.612,1.204684323310852
78,150,one image per cluster,0.6165,1.3935818943023681
79,150,one image per cluster,0.6493,1.4173433790206909
80,100,one image per cluster,0.5894,1.5634422992706298
81,100,one image per cluster,0.4755,1.575403469467163
82,100,one image per cluster,0.5739,1.4788056343078613
83,100,one image per cluster,0.5367,1.4685037466049193
84,100,one image per cluster,0.4465,1.9952591156005859
85,100,one image per cluster,0.5133,1.4708931783676147
86,100,one image per cluster,0.5797,1.606062481689453
87,100,one image per cluster,0.5825,1.579066439819336
88,100,one image per cluster,0.5628,1.5823657531738282
89,100,one image per cluster,0.582,1.3084447051048278
90,80,one image per cluster,0.5827,1.488406294631958
91,80,one image per cluster,0.5193,1.7512755416870118
92,80,one image per cluster,0.5351,1.613561743736267
93,80,one image per cluster,0.575,1.654957824897766
94,80,one image per cluster,0.4334,1.8302325328826905
95,80,one image per cluster,0.5347,1.6146340259552001
96,80,one image per cluster,0.5247,1.5072659383773803
97,80,one image per cluster,0.5976,1.5765008863449097
98,80,one image per cluster,0.5786,1.5217828882217408
99,80,one image per cluster,0.5262,1.5320145721435547
100,60,one image per cluster,0.51,1.576728967666626
101,60,one image per cluster,0.4535,1.7268208534240723
102,60,one image per cluster,0.5704,1.4250916858673095
103,60,one image per cluster,0.5315,1.5058038270950318
104,60,one image per cluster,0.5522,1.5102857662200928
105,60,one image per cluster,0.5098,1.8203157682418822
106,60,one image per cluster,0.5453,1.5954932432174682
107,60,one image per cluster,0.4753,1.684865463066101
108,60,one image per cluster,0.5414,1.5696812820434571
109,60,one image per cluster,0.5786,1.7909910022735596
110,40,one image per cluster,0.4952,1.520815019416809
111,40,one image per cluster,0.4543,1.7975254041671753
112,40,one image per cluster,0.5072,1.8599962436676025
113,40,one image per cluster,0.4429,1.9261159530639649
114,40,one image per cluster,0.4778,1.8863794944763184
115,40,one image per cluster,0.5289,1.7286133382797242
116,40,one image per cluster,0.5008,2.1444012619018555
117,40,one image per cluster,0.4666,1.627648394012451
118,40,one image per cluster,0.4392,1.759541086959839
119,40,one image per cluster,0.4425,1.6928200592041016
120,20,one image per cluster,0.297,1.9550952478408814
121,20,one image per cluster,0.3544,1.9166217157363892
122,20,one image per cluster,0.301,2.1633276233673095
123,20,one image per cluster,0.3021,2.0716269470214845
124,20,one image per cluster,0.3171,2.0251380977630613
125,20,one image per cluster,0.3656,2.8812498405456544
126,20,one image per cluster,0.3477,1.900035593032837
127,20,one image per cluster,0.3351,2.039710136413574
128,20,one image per cluster,0.2834,2.044053116607666
129,20,one image per cluster,0.2319,2.552389802932739
130,10,one image per cluster,0.2844,2.562342134475708
131,10,one image per cluster,0.3073,2.18623208732605
132,10,one image per cluster,0.2789,2.2123355403900145
133,10,one image per cluster,0.2039,2.7798078216552735
134,10,one image per cluster,0.2936,2.143887508392334
135,10,one image per cluster,0.2085,2.4995470043182375
136,10,one image per cluster,0.1775,2.2655748054504397
137,10,one image per cluster,0.202,2.1556410999298095
138,10,one image per cluster,0.2468,2.3280596649169922
139,10,one image per cluster,0.1945,3.3698937423706057
