,train_size,train_set_type,loss,accuracy
0,50,diverse,0.613703029680252,0.7881
1,50,diverse,0.4461938035488129,0.8424
2,50,diverse,0.1980595705986023,0.943
3,50,diverse,0.26584701194763183,0.9227
4,50,diverse,0.21821921409964562,0.9269
5,50,diverse,0.32452287269830704,0.891
6,50,diverse,0.2686884407520294,0.917
7,50,diverse,0.23244293865561486,0.9244
8,50,diverse,0.2652440195798874,0.9168
9,50,diverse,0.4349986225128174,0.8579
10,50,similar,0.2986933510303497,0.9124
11,50,similar,0.21934185329079628,0.9269
12,50,similar,0.2814343913555145,0.9011
13,50,similar,0.32190570261478424,0.8972
14,50,similar,0.170930246694386,0.9407
15,50,similar,0.16512240662574768,0.9451
16,50,similar,0.19213535819016397,0.9448
17,50,similar,0.193039616137743,0.9393
18,50,similar,0.22455267843604088,0.9209
19,50,similar,0.2904521964788437,0.898
20,50,random,0.22240939142107963,0.9255
21,50,random,0.11920521393362432,0.9645
22,50,random,0.2524498821735382,0.9041
23,50,random,0.4520156938076019,0.8434
24,50,random,0.2488021801173687,0.9149
25,50,random,0.11166700462400914,0.9693
26,50,random,0.5474363574504852,0.8051
27,50,random,0.17070918846726418,0.9442
28,50,random,0.18008927097320557,0.9434
29,50,random,0.25318839709758756,0.9288
0,100,diverse,0.07371572014484555,0.978
1,100,diverse,0.08139853673689067,0.9743
2,100,diverse,0.062240250953752546,0.9811
3,100,diverse,0.24095961703062058,0.9395
4,100,diverse,0.11231330937445164,0.9662
5,100,diverse,0.13927238999307157,0.9581
6,100,diverse,0.09290165115743876,0.9685
7,100,diverse,0.1945525809764862,0.952
8,100,diverse,0.20259689433574676,0.9306
9,100,diverse,0.09429518965482712,0.9694
10,100,similar,0.15804436259269714,0.9425
11,100,similar,0.08833980806469917,0.9731
12,100,similar,0.12108654168844223,0.9614
13,100,similar,0.11554939751923084,0.9594
14,100,similar,0.10142480161041022,0.9669
15,100,similar,0.3251773677349091,0.8988
16,100,similar,0.21154326354265213,0.9402
17,100,similar,0.21967281391620636,0.9291
18,100,similar,0.13638626708090304,0.9575
19,100,similar,0.08252991271223872,0.9743
20,100,random,0.07737228039577604,0.9778
21,100,random,0.1275545910015702,0.9562
22,100,random,0.10609532255753874,0.964
23,100,random,0.06602460668496787,0.9791
24,100,random,0.16872656745016576,0.9447
25,100,random,0.1589925286665559,0.9522
26,100,random,0.08153734417520464,0.9739
27,100,random,0.1237595893908292,0.9605
28,100,random,0.11613496346697211,0.967
29,100,random,0.06453551153000445,0.9807
0,150,diverse,0.09093905013203621,0.9737
1,150,diverse,0.048735383535176514,0.9863
2,150,diverse,0.07203971271067858,0.9763
3,150,diverse,0.07341021337863057,0.978
4,150,diverse,0.12359406884759665,0.9612
5,150,diverse,0.0814520215563476,0.9763
6,150,diverse,0.08681686241589487,0.9734
7,150,diverse,0.10085566199719906,0.9686
8,150,diverse,0.07767779436260462,0.9754
9,150,diverse,0.0767335236031562,0.9753
10,150,similar,0.0970709361356683,0.9694
11,150,similar,0.04990254796096124,0.9839
12,150,similar,0.11701206583883614,0.9659
13,150,similar,0.0752231395786628,0.9774
14,150,similar,0.18568432072401048,0.9394
15,150,similar,0.07943155578216538,0.977
16,150,similar,0.0640143578035757,0.9815
17,150,similar,0.1263578713491559,0.9551
18,150,similar,0.12965172704011202,0.9602
19,150,similar,0.06742308456227183,0.9795
20,150,random,0.09214297826290131,0.9769
21,150,random,0.08294215906262398,0.9757
22,150,random,0.06812876476347446,0.9769
23,150,random,0.10286715472973883,0.9686
24,150,random,0.06706136689148844,0.9809
25,150,random,0.1116087039515376,0.9686
26,150,random,0.0765216205254197,0.9766
27,150,random,0.0650391644988209,0.9796
28,150,random,0.04959949995651841,0.9852
29,150,random,0.05851101666241884,0.9824
0,200,diverse,0.0668916392788291,0.9788
1,200,diverse,0.07767608204968274,0.9756
2,200,diverse,0.07737815890610218,0.9771
3,200,diverse,0.07711321037784219,0.975
4,200,diverse,0.03804454408157617,0.9876
5,200,diverse,0.06467210947051644,0.9793
6,200,diverse,0.11988467717841268,0.9597
7,200,diverse,0.09731352019980549,0.9697
8,200,diverse,0.12658462075293064,0.9632
9,200,diverse,0.065921844650805,0.9799
10,200,similar,0.08400371756106616,0.9734
11,200,similar,0.08296576262265444,0.9727
12,200,similar,0.0756060687147081,0.9764
13,200,similar,0.15247948548868298,0.9503
14,200,similar,0.036961570554203356,0.9881
15,200,similar,0.061608603403158484,0.9816
16,200,similar,0.0754831981074065,0.9764
17,200,similar,0.11566432000249624,0.9637
18,200,similar,0.1490844702810049,0.9554
19,200,similar,0.08756534812897444,0.9748
20,200,random,0.04873207821622491,0.9852
21,200,random,0.032181625281088054,0.9901
22,200,random,0.07052595145795494,0.9782
23,200,random,0.04731866987496614,0.986
24,200,random,0.10670788977798075,0.9685
25,200,random,0.07041800149362534,0.9782
26,200,random,0.04603668942181394,0.9863
27,200,random,0.12713566485345362,0.9623
28,200,random,0.06381568366540596,0.9802
29,200,random,0.09355696047246456,0.9773
