,train_size,train_set_type,loss,accuracy
0,10,diverse,2.879168809890747,0.2589
1,10,diverse,2.214031258010864,0.2254
2,10,diverse,2.3747178855895994,0.2361
3,10,diverse,2.7593875442504885,0.2473
4,10,diverse,2.3249791492462157,0.2389
5,10,diverse,2.0308992378234865,0.3273
6,10,diverse,2.3063239784240723,0.2472
7,10,diverse,2.281372592163086,0.2375
8,10,diverse,2.0829694873809816,0.272
9,10,diverse,2.4582263080596922,0.2532
10,10,similar,2.6824309089660643,0.1851
11,10,similar,2.9142583518981935,0.2342
12,10,similar,2.1883228652954103,0.2799
13,10,similar,2.2448250648498536,0.2755
14,10,similar,2.458268531036377,0.2512
15,10,similar,2.3235131187438967,0.2485
16,10,similar,2.209695213317871,0.2263
17,10,similar,2.1567286949157713,0.2663
18,10,similar,2.1219808349609375,0.2624
19,10,similar,2.3421414039611816,0.24
20,10,random,2.1036054222106935,0.2731
21,10,random,2.489635905456543,0.1531
22,10,random,2.170081568527222,0.2511
23,10,random,2.08334744682312,0.2772
24,10,random,2.247940693283081,0.2354
25,10,random,2.3100046733856203,0.288
26,10,random,2.11070407371521,0.2581
27,10,random,2.712750831604004,0.2595
28,10,random,2.659526040267944,0.2189
29,10,random,2.6732397724151613,0.2457
0,20,diverse,2.0535051342010497,0.2945
1,20,diverse,2.0574169273376466,0.2838
2,20,diverse,2.2400072780609133,0.254
3,20,diverse,2.3648793376922606,0.2532
4,20,diverse,2.1730475399017335,0.2917
5,20,diverse,2.1549082260131835,0.2621
6,20,diverse,2.6047600749969484,0.2902
7,20,diverse,2.0221185775756836,0.2617
8,20,diverse,1.859304406929016,0.3273
9,20,diverse,2.17807579536438,0.2921
10,20,similar,1.9888234493255614,0.3317
11,20,similar,2.2278699630737306,0.1852
12,20,similar,2.0883054473876954,0.2874
13,20,similar,2.04347957611084,0.3613
14,20,similar,1.9467230194091796,0.3147
15,20,similar,2.065781022644043,0.3004
16,20,similar,1.9570652370452881,0.3287
17,20,similar,2.233933542251587,0.2905
18,20,similar,1.9318548069000243,0.2937
19,20,similar,1.9973650955200195,0.3639
20,20,random,1.9741225944519043,0.3308
21,20,random,2.045035099220276,0.3146
22,20,random,2.665761045074463,0.2558
23,20,random,2.0678985061645507,0.2889
24,20,random,2.1035058071136477,0.2767
25,20,random,2.0371365474700927,0.2905
26,20,random,2.484113719558716,0.2404
27,20,random,1.9997535755157472,0.3144
28,20,random,2.113598058319092,0.286
29,20,random,2.003996032524109,0.3155
0,30,diverse,1.8579526287078858,0.4366
1,30,diverse,1.7532175664901732,0.4128
2,30,diverse,1.7604494836807252,0.4477
3,30,diverse,1.814796114730835,0.4248
4,30,diverse,2.204675017166138,0.3977
5,30,diverse,1.9217514324188232,0.3693
6,30,diverse,2.356264013671875,0.3074
7,30,diverse,2.3932123470306395,0.3648
8,30,diverse,1.7675521070480347,0.3555
9,30,diverse,1.9353944717407228,0.3181
10,30,similar,2.013705208969116,0.2328
11,30,similar,1.9499480270385743,0.344
12,30,similar,2.241466025924683,0.4394
13,30,similar,1.8622267435073852,0.3144
14,30,similar,2.2454402214050293,0.272
15,30,similar,1.9909417751312255,0.3344
16,30,similar,1.9530572744369508,0.4024
17,30,similar,1.7817511005401612,0.4207
18,30,similar,1.7779418571472168,0.4071
19,30,similar,1.6962638427734376,0.4348
20,30,random,1.7245599168777466,0.4298
21,30,random,1.9961144882202149,0.3576
22,30,random,1.7648599514007568,0.4297
23,30,random,2.1001905307769775,0.2676
24,30,random,2.1578862663269045,0.4064
25,30,random,1.5753049409866333,0.499
26,30,random,2.001844507598877,0.2987
27,30,random,1.8838618423461915,0.3002
28,30,random,1.8809687870025635,0.3671
29,30,random,2.172528748703003,0.3587
0,40,diverse,1.6124051139831543,0.4452
1,40,diverse,2.058899620819092,0.3548
2,40,diverse,1.847407409286499,0.4142
3,40,diverse,1.6043777994155883,0.4494
4,40,diverse,1.7902005205154419,0.4795
5,40,diverse,1.8766966899871826,0.419
6,40,diverse,1.779900968170166,0.4199
7,40,diverse,1.8250632110595704,0.4302
8,40,diverse,1.6881020488739014,0.398
9,40,diverse,1.6019971504211425,0.4922
10,40,similar,2.0250236129760744,0.3398
11,40,similar,2.1546646324157717,0.3784
12,40,similar,1.531652572441101,0.4955
13,40,similar,1.6224996807098389,0.4281
14,40,similar,1.8898156711578369,0.4043
15,40,similar,1.7618498821258546,0.4084
16,40,similar,1.7882773511886596,0.4654
17,40,similar,1.6598331247329712,0.4754
18,40,similar,2.356360536956787,0.3691
19,40,similar,1.8919614711761474,0.4557
20,40,random,2.331320955657959,0.3475
21,40,random,1.6379473449707032,0.4171
22,40,random,1.8870996479034423,0.3708
23,40,random,1.7686104969024659,0.4132
24,40,random,1.6381150730133056,0.4516
25,40,random,2.043454288482666,0.4689
26,40,random,1.8716219442367554,0.3313
27,40,random,1.902101243209839,0.416
28,40,random,1.6858315546035767,0.4466
29,40,random,2.1683928104400634,0.4333
0,50,diverse,1.8134207641601563,0.31
1,50,diverse,1.6934608291625977,0.4713
2,50,diverse,1.703010039138794,0.475
3,50,diverse,1.7151886529922484,0.4311
4,50,diverse,1.602083151626587,0.4553
5,50,diverse,1.6842980098724365,0.4249
6,50,diverse,1.6026420255661011,0.4682
7,50,diverse,1.5950372247695923,0.5037
8,50,diverse,1.9797052900314331,0.4631
9,50,diverse,1.7225141313552856,0.5058
10,50,similar,1.5106939018249512,0.4954
11,50,similar,1.4633771759033203,0.5474
12,50,similar,1.4571197696685791,0.4883
13,50,similar,1.9609185050964355,0.4659
14,50,similar,1.5653356719970704,0.4966
15,50,similar,1.597971734046936,0.5061
16,50,similar,1.5655265674591063,0.4808
17,50,similar,1.8161130010604858,0.3455
18,50,similar,1.617109327507019,0.5253
19,50,similar,1.632464053916931,0.4716
20,50,random,1.7644260902404785,0.4943
21,50,random,1.529054715538025,0.5196
22,50,random,1.7968875734329224,0.4805
23,50,random,1.6499683784484864,0.4621
24,50,random,1.4504527225494386,0.5273
