,train_size,train_set_type,accuracy,loss
0,500,random,0.7267,0.8951809197425842
1,500,random,0.7222,0.8167475734710693
2,500,random,0.7018,0.8743857069969178
3,500,random,0.7222,0.8149335302352906
4,500,random,0.7273,0.8928588438987732
5,500,random,0.7278,0.8699405107498169
6,500,random,0.7281,0.9244468231201172
7,500,random,0.6889,0.9417711773872376
8,500,random,0.7349,0.9006866989135742
9,500,random,0.7269,0.8527136417388916
10,250,random,0.6837,1.055714487171173
11,250,random,0.6757,1.022352433681488
12,250,random,0.7155,1.0565820338726044
13,250,random,0.6464,1.0575286784172058
14,250,random,0.6954,1.1112193193435669
15,250,random,0.677,1.0354124291419984
16,250,random,0.6715,0.9530234852790832
17,250,random,0.6568,1.0416582347869874
18,250,random,0.6163,1.0911162845611573
19,250,random,0.6462,1.0581350032806396
20,200,random,0.6343,1.1394085825920104
21,200,random,0.6452,1.0564044807434083
22,200,random,0.6072,1.122712027168274
23,200,random,0.6647,1.0816441427230834
24,200,random,0.6694,1.0989850371360779
25,200,random,0.6826,0.9777643657684326
26,200,random,0.6531,1.024484440422058
27,200,random,0.6578,1.0794896530151368
28,200,random,0.649,1.101209055995941
29,200,random,0.664,1.1645396679878235
30,150,random,0.6265,1.1100144342422484
31,150,random,0.6279,1.0668301210403441
32,150,random,0.6223,1.1844507465362548
33,150,random,0.6408,1.2365150037765502
34,150,random,0.6557,1.0765667201042175
35,150,random,0.6468,1.1009661107063293
36,150,random,0.6342,1.1173452030181885
37,150,random,0.5861,1.2002786268234253
38,150,random,0.6353,1.1768751268386841
39,150,random,0.6289,1.1295536214828492
40,100,random,0.5531,1.3249244714736939
41,100,random,0.5769,1.2623395587921142
42,100,random,0.5902,1.1660492979049684
43,100,random,0.5803,1.2170203121185303
44,100,random,0.5955,1.1591915691375732
45,100,random,0.5799,1.2343422700881959
46,100,random,0.5765,1.2682732370376586
47,100,random,0.594,1.219841611289978
48,100,random,0.5874,1.2246353158950805
49,100,random,0.5658,1.3355861694335938
50,80,random,0.5431,1.3263568519592286
51,80,random,0.5337,1.3308058401107787
52,80,random,0.5104,1.3822384941101074
53,80,random,0.5809,1.277318992805481
54,80,random,0.5606,1.2963530902862548
55,80,random,0.5932,1.3519073221206666
56,80,random,0.5613,1.2813362119674683
57,80,random,0.5607,1.2997405477523805
58,80,random,0.5858,1.3472994220733643
59,80,random,0.5854,1.260275040435791
60,60,random,0.406,1.7324034276962281
61,60,random,0.5337,1.3773910356521606
62,60,random,0.5809,1.3434576341629028
63,60,random,0.5013,1.4795912982940673
64,60,random,0.4814,1.472039058494568
65,60,random,0.5318,1.3879583148956298
66,60,random,0.53,1.328620931816101
67,60,random,0.5477,1.3713433799743653
68,60,random,0.5207,1.5404634262084962
69,60,random,0.5131,1.3710521635055541
70,40,random,0.5075,1.6092868099212647
71,40,random,0.4716,1.5422938037872314
72,40,random,0.4936,1.4682863567352296
73,40,random,0.374,1.7835648376464843
74,40,random,0.4711,1.6655155424118042
75,40,random,0.4857,1.5870405920028687
76,40,random,0.5201,1.386852423286438
77,40,random,0.4311,1.6869844486236572
78,40,random,0.4552,1.5713300540924073
79,40,random,0.3734,1.7682241573333741
80,20,random,0.3153,1.8691605922698975
81,20,random,0.323,1.8913599807739259
82,20,random,0.3283,1.8667217544555663
83,20,random,0.37,1.8355952386856078
84,20,random,0.3505,1.890339561843872
85,20,random,0.4174,1.7024595649719239
86,20,random,0.3338,2.0138823699951174
87,20,random,0.3275,1.9446487119674682
88,20,random,0.3504,1.8158287864685059
89,20,random,0.3131,1.9227706359863281
90,10,random,0.2724,2.053546431732178
91,10,random,0.3167,1.971871649169922
92,10,random,0.2986,2.0654595458984377
93,10,random,0.2973,1.95541937789917
94,10,random,0.3329,1.9066618085861207
95,10,random,0.2828,1.989304753112793
96,10,random,0.257,2.05306198387146
97,10,random,0.2885,1.9974752071380615
98,10,random,0.2706,1.9831797065734864
99,10,random,0.3227,2.035885931968689
100,500,random by cluster,0.7371,0.9048703245162963
101,500,random by cluster,0.6995,0.9487971963882447
102,500,random by cluster,0.6883,0.9211086001396179
103,500,random by cluster,0.7221,0.9445499225139617
104,500,random by cluster,0.7427,0.8127839518547058
105,500,random by cluster,0.7185,0.9104329866409302
106,500,random by cluster,0.7298,0.8758846306800843
107,500,random by cluster,0.7483,0.9308697225570679
108,500,random by cluster,0.7402,0.9095099491119385
109,500,random by cluster,0.7385,0.8015253631591797
110,250,random by cluster,0.6427,1.0419725763320924
111,250,random by cluster,0.6839,1.03625325050354
112,250,random by cluster,0.6603,1.0919133253097535
113,250,random by cluster,0.7077,0.9082334620475769
114,250,random by cluster,0.6873,0.9119324319839478
115,250,random by cluster,0.6468,1.0435422775268555
116,250,random by cluster,0.7038,1.016788518333435
117,250,random by cluster,0.6556,1.056064014148712
118,250,random by cluster,0.6638,0.974841397857666
119,250,random by cluster,0.6912,1.0045388877868653
120,200,random by cluster,0.6355,1.142776071166992
121,200,random by cluster,0.6445,1.115800507545471
122,200,random by cluster,0.6565,1.0579567618370056
123,200,random by cluster,0.6504,1.0527758068084716
124,200,random by cluster,0.6696,0.9977854194641114
125,200,random by cluster,0.6746,1.1822363338470459
126,200,random by cluster,0.6445,1.0964475322723388
127,200,random by cluster,0.6909,1.1046779331207275
128,200,random by cluster,0.5766,1.2425270307540894
129,200,random by cluster,0.6,1.1418174314498901
130,150,random by cluster,0.6333,1.1496126119613648
131,150,random by cluster,0.5718,1.2104985719680785
132,150,random by cluster,0.6426,1.216901951789856
133,150,random by cluster,0.6375,1.0680258187294007
134,150,random by cluster,0.6121,1.1388229174613953
135,150,random by cluster,0.5805,1.2163142488479615
136,150,random by cluster,0.6535,1.1117403972625732
137,150,random by cluster,0.6136,1.1617520631790161
138,150,random by cluster,0.6017,1.1402564741134644
139,150,random by cluster,0.6592,1.086033755493164
140,100,random by cluster,0.5586,1.226445750617981
141,100,random by cluster,0.6079,1.1765000073432923
142,100,random by cluster,0.6053,1.1654874979019165
143,100,random by cluster,0.5714,1.2823220682144165
144,100,random by cluster,0.5808,1.2585143039703368
145,100,random by cluster,0.4509,1.4938737184524535
146,100,random by cluster,0.5762,1.3246831579208374
147,100,random by cluster,0.6043,1.173964387512207
148,100,random by cluster,0.5489,1.386163805770874
149,100,random by cluster,0.5826,1.2116295665740966
150,80,random by cluster,0.5939,1.1981286538124085
151,80,random by cluster,0.5376,1.3205019279479981
152,80,random by cluster,0.5618,1.324426665687561
153,80,random by cluster,0.568,1.2371052700042724
154,80,random by cluster,0.5611,1.319221371269226
155,80,random by cluster,0.503,1.5012994436264038
156,80,random by cluster,0.5375,1.3833824752807617
157,80,random by cluster,0.5909,1.2468878170013429
158,80,random by cluster,0.6053,1.3356884315490722
159,80,random by cluster,0.5538,1.295110122680664
160,60,random by cluster,0.5041,1.4032407644271851
161,60,random by cluster,0.5362,1.4983603029251098
162,60,random by cluster,0.5288,1.4876894538879395
163,60,random by cluster,0.4528,1.5793013416290282
164,60,random by cluster,0.5462,1.3275921291351318
165,60,random by cluster,0.5137,1.4046388931274414
166,60,random by cluster,0.5444,1.328166727256775
167,60,random by cluster,0.5526,1.5500674629211426
168,60,random by cluster,0.5367,1.3612395133972168
169,60,random by cluster,0.5194,1.4116521783828735
170,40,random by cluster,0.3998,1.7079161167144776
171,40,random by cluster,0.4345,1.6007850326538087
172,40,random by cluster,0.4347,1.5726835674285888
173,40,random by cluster,0.4088,1.6622940265655517
174,40,random by cluster,0.469,1.5329981906890868
175,40,random by cluster,0.3563,1.7894920440673827
176,40,random by cluster,0.5042,1.5205273307800293
177,40,random by cluster,0.4347,1.69850042552948
178,40,random by cluster,0.4926,1.4518866836547852
179,40,random by cluster,0.5096,1.5317851671218872
180,20,random by cluster,0.3793,1.7872890827178955
181,20,random by cluster,0.4208,1.7004220373153687
182,20,random by cluster,0.3389,1.9730502361297608
183,20,random by cluster,0.3377,1.8532076400756836
