,train_size,train_set_type,loss,accuracy
0,500,diverse,0.9194359647750855,0.6752
1,500,diverse,0.8661799525260925,0.6959
2,500,diverse,0.8334269777297973,0.7272
3,500,diverse,0.8479004565238952,0.7147
4,500,diverse,0.9417571654319763,0.6793
5,500,diverse,0.8377707936286927,0.7128
6,500,diverse,0.8274210900306702,0.7152
7,500,diverse,0.813179448223114,0.7163
8,500,diverse,0.7874683934211731,0.7496
9,500,diverse,0.8521075255870819,0.7372
10,500,similar,1.2117998211860657,0.6478
11,500,similar,1.1803942331314088,0.616
12,500,similar,1.1632781048774719,0.6567
13,500,similar,1.3785131870269776,0.6515
14,500,similar,1.0888087762832641,0.6526
15,500,similar,1.1641609142303466,0.6506
16,500,similar,1.3736529510498048,0.668
17,500,similar,1.1415615628242493,0.6596
18,500,similar,1.1656620615005493,0.6748
19,500,similar,1.247404730796814,0.6639
20,500,random,0.8508141809463501,0.7066
21,500,random,0.8400766762733459,0.7206
22,500,random,0.7824290363311768,0.7448
23,500,random,0.8500755974769593,0.7072
24,500,random,0.848307698726654,0.7434
25,500,random,0.9259773380279541,0.6822
26,500,random,0.9163554270744324,0.686
27,500,random,0.8802199069976807,0.7132
28,500,random,0.8966315301895141,0.6874
29,500,random,0.8576063230514527,0.7472
0,250,diverse,1.1488310306549072,0.5935
1,250,diverse,1.0119095441818238,0.6709
2,250,diverse,1.0303521360397339,0.6384
3,250,diverse,0.9348220042228699,0.674
4,250,diverse,1.0704712753295897,0.6354
5,250,diverse,1.064232000541687,0.6462
6,250,diverse,1.0389035890579223,0.6356
7,250,diverse,1.3678110740661622,0.5367
8,250,diverse,1.0005575601577759,0.6455
9,250,diverse,0.9939196834564209,0.6548
10,250,similar,1.477855266571045,0.5676
11,250,similar,1.5694016349792481,0.4908
12,250,similar,1.9325959154129029,0.5809
13,250,similar,1.6774626914978028,0.5918
14,250,similar,1.6377025489807129,0.5569
15,250,similar,1.3130222099304198,0.5738
16,250,similar,1.4823926906585694,0.5407
17,250,similar,1.7058458974838258,0.629
18,250,similar,1.4592477952957152,0.6311
19,250,similar,1.3750021327972413,0.5954
20,250,random,1.0950913709640504,0.6307
21,250,random,0.981648170375824,0.7052
22,250,random,1.0563036403656005,0.6382
23,250,random,0.991544464969635,0.674
24,250,random,1.0246307062149047,0.6972
25,250,random,0.9936581234931946,0.6548
26,250,random,0.9546236400604248,0.6695
27,250,random,0.9960026586532593,0.6619
28,250,random,0.9819229516983032,0.6594
29,250,random,0.9157367936134339,0.6863
0,200,diverse,1.015445029067993,0.6454
1,200,diverse,1.0409017738342285,0.6361
2,200,diverse,1.132810558128357,0.6107
3,200,diverse,1.0837730836868287,0.6296
4,200,diverse,1.0076132875442505,0.6492
5,200,diverse,1.0582899974823,0.6587
6,200,diverse,1.018540754699707,0.6429
7,200,diverse,1.0556656723022462,0.6628
8,200,diverse,1.0613408930778503,0.6685
9,200,diverse,0.9556158351898193,0.6703
10,200,similar,1.643681831741333,0.5241
11,200,similar,1.552919688987732,0.528
12,200,similar,1.8636090602874755,0.5626
13,200,similar,1.4671785982131957,0.5104
14,200,similar,1.6167193040847778,0.5527
15,200,similar,1.7790843202590942,0.5668
16,200,similar,1.8786116720199586,0.5325
17,200,similar,1.7338529527664184,0.5425
18,200,similar,1.6941024921417236,0.5713
19,200,similar,1.4466690628051757,0.5544
20,200,random,1.0570995979309081,0.6247
21,200,random,1.044661347579956,0.6359
22,200,random,1.0296106744766236,0.6541
23,200,random,0.9750568746566772,0.6725
24,200,random,1.0561688532829285,0.6632
25,200,random,1.0295157127380372,0.6397
26,200,random,1.0880625100135803,0.6436
27,200,random,1.0048664707183839,0.6657
28,200,random,1.0487750743865967,0.6374
29,200,random,1.060135663795471,0.6319
0,150,diverse,1.0798589124679565,0.6139
1,150,diverse,1.2559459003448485,0.5384
2,150,diverse,1.1569196155548096,0.5779
3,150,diverse,1.2176298625946045,0.5793
4,150,diverse,1.093820654296875,0.6144
5,150,diverse,1.0921299158096314,0.6358
6,150,diverse,1.062950081729889,0.6417
7,150,diverse,1.1164329967498778,0.6243
8,150,diverse,1.1804697441101075,0.5788
9,150,diverse,1.171682311630249,0.5839
10,150,similar,1.6790634407043457,0.5101
11,150,similar,1.6515762523651123,0.5044
12,150,similar,1.8948042833328247,0.4643
13,150,similar,1.9959224647521974,0.4584
14,150,similar,1.6811996807098388,0.5362
15,150,similar,1.905626669692993,0.5249
16,150,similar,1.999604278755188,0.484
17,150,similar,1.8045516941070556,0.5318
18,150,similar,1.7026947225570679,0.5443
19,150,similar,1.8584972019195556,0.5205
20,150,random,1.111766681289673,0.6045
21,150,random,1.1480592405319214,0.6156
22,150,random,1.0966921417236328,0.6331
23,150,random,1.0756766156196593,0.6417
24,150,random,1.1492835529327392,0.6055
25,150,random,1.130497456550598,0.6048
26,150,random,1.0912234838485717,0.6063
27,150,random,1.1296244998931886,0.6104
28,150,random,1.1415769472122193,0.5983
29,150,random,1.2133770370483399,0.5755
0,100,diverse,1.2774416717529298,0.5445
1,100,diverse,1.3629629892349244,0.5258
2,100,diverse,1.4002840936660768,0.4997
3,100,diverse,1.282658868598938,0.5525
4,100,diverse,1.461684920501709,0.4844
5,100,diverse,1.3087121404647828,0.531
6,100,diverse,1.2164965881347656,0.5799
7,100,diverse,1.3821759914398193,0.5318
8,100,diverse,1.2513827396392823,0.5711
9,100,diverse,1.5621075733184815,0.4728
10,100,similar,1.6044066774368286,0.5475
11,100,similar,1.9471854124069214,0.5149
12,100,similar,1.8595285062789917,0.4798
13,100,similar,2.8216118015289307,0.4772
14,100,similar,2.0067222175598145,0.4348
15,100,similar,2.109682992553711,0.4907
16,100,similar,1.7604801849365235,0.4851
17,100,similar,1.7512044588088989,0.4961
18,100,similar,1.5217943494796753,0.5511
19,100,similar,1.7925375101089478,0.5177
20,100,random,1.3927472007751465,0.5112
21,100,random,1.2042943822860719,0.5708
22,100,random,1.2808969528198242,0.6
23,100,random,1.2692421348571776,0.5691
24,100,random,1.6429362045288085,0.4255
25,100,random,1.2593804529190062,0.5471
26,100,random,1.1953547092437744,0.5804
27,100,random,1.270846795463562,0.5492
