,train_size,train_set_type,accuracy,loss
0,500,random,0.724,0.7993441066741943
1,500,random,0.7256,0.7989520352840424
2,500,random,0.7317,0.8144143301010132
3,500,random,0.7313,0.8093164803504944
4,500,random,0.7399,0.7826984430313111
5,500,random,0.7216,0.8185292222023011
6,500,random,0.707,0.8469808094978333
7,500,random,0.691,0.8653494139671326
8,500,random,0.7136,0.8585378634452819
9,500,random,0.7285,0.8348435273170471
10,250,random,0.6521,1.0158824051856994
11,250,random,0.6798,0.962594136428833
12,250,random,0.639,1.0460106506347657
13,250,random,0.6737,0.9774112124443054
14,250,random,0.6679,0.9741794074058533
15,250,random,0.6275,1.0495882242202759
16,250,random,0.6307,1.1357217926025391
17,250,random,0.6678,0.991696610546112
18,250,random,0.6105,1.0780807371139527
19,250,random,0.6927,0.9982494021415711
20,200,random,0.6356,1.048895766067505
21,200,random,0.6608,1.0051510630607605
22,200,random,0.657,0.9779537181854248
23,200,random,0.6722,1.0117955814361572
24,200,random,0.6599,1.0280863722801208
25,200,random,0.6239,1.069996110343933
26,200,random,0.6752,1.0130622847557067
27,200,random,0.6463,1.0234044803619384
28,200,random,0.656,1.001407790184021
29,200,random,0.6648,0.9684687757492065
30,150,random,0.6199,1.0850548567771912
31,150,random,0.621,1.0829025723457337
32,150,random,0.6339,1.0967536856651305
33,150,random,0.631,1.0628176827430724
34,150,random,0.6339,1.133066908454895
35,150,random,0.561,1.239297094154358
36,150,random,0.646,1.016039868927002
37,150,random,0.6219,1.1179887228012084
38,150,random,0.658,1.0591655192375182
39,150,random,0.6201,1.080004845237732
40,100,random,0.5332,1.3226730997085572
41,100,random,0.4922,1.4172041746139525
42,100,random,0.5327,1.3279865171432494
43,100,random,0.5871,1.201212619972229
44,100,random,0.5537,1.2630885969161987
45,100,random,0.3754,1.6725057741165161
46,100,random,0.6194,1.1712676387786864
47,100,random,0.5478,1.3380342510223389
48,100,random,0.5428,1.2812170011520385
49,100,random,0.5867,1.2050966693878173
50,80,random,0.5675,1.2866350322723388
51,80,random,0.5821,1.2777974281311035
52,80,random,0.5866,1.1789269702911378
53,80,random,0.5661,1.2319689298629761
54,80,random,0.542,1.3130973928451537
55,80,random,0.5622,1.311607006072998
56,80,random,0.5312,1.330650549697876
57,80,random,0.5463,1.2603870557785035
58,80,random,0.566,1.251726163673401
59,80,random,0.4736,1.4578681785583496
60,60,random,0.4348,1.5776766906738282
61,60,random,0.4012,1.6624995594024659
62,60,random,0.5261,1.342099144935608
63,60,random,0.5452,1.3098056816101074
64,60,random,0.5419,1.407986960220337
65,60,random,0.4732,1.4959274784088135
66,60,random,0.5067,1.3914209062576295
67,60,random,0.4966,1.4329012701034547
68,60,random,0.5241,1.3848391088485719
69,60,random,0.5226,1.409138512802124
70,40,random,0.4902,1.444305764579773
71,40,random,0.515,1.572726031112671
72,40,random,0.3644,1.7430292003631591
73,40,random,0.3681,1.7081626356124877
74,40,random,0.4582,1.7047441429138184
75,40,random,0.439,1.5706481660842895
76,40,random,0.3402,1.881954359436035
77,40,random,0.4127,1.6603673179626466
78,40,random,0.4952,1.4412837398529053
79,40,random,0.521,1.500894069480896
80,20,random,0.2923,2.0537664764404298
81,20,random,0.3913,1.8677708961486816
82,20,random,0.3393,1.8370767303466797
83,20,random,0.3557,1.941835725402832
84,20,random,0.2957,1.9782938659667968
85,20,random,0.3511,1.9484975337982178
86,20,random,0.2792,1.9523065105438233
87,20,random,0.3665,1.8942870845794677
88,20,random,0.3517,1.777631307220459
89,20,random,0.3658,1.8537832145690918
90,10,random,0.2685,2.0064663200378416
91,10,random,0.2465,2.064939287567139
92,10,random,0.2902,1.9938961473464967
93,10,random,0.1467,2.303175633239746
94,10,random,0.3207,1.952875698852539
95,10,random,0.3281,1.9108812587738038
96,10,random,0.2554,2.0567550605773928
97,10,random,0.2552,2.071097437667847
98,10,random,0.3015,2.051833263015747
99,10,random,0.2673,2.0694711050033567
100,500,random by cluster,0.7132,0.8645165364265441
101,500,random by cluster,0.7215,0.8100579307556153
102,500,random by cluster,0.7194,0.8212473548412323
103,500,random by cluster,0.6869,0.9057601791381836
104,500,random by cluster,0.7071,0.8542740699768067
105,500,random by cluster,0.7366,0.8010100454330444
106,500,random by cluster,0.7264,0.8836007152557374
107,500,random by cluster,0.7305,0.7937442147254944
108,500,random by cluster,0.7159,0.836798616027832
109,500,random by cluster,0.7105,0.8786648893356324
110,250,random by cluster,0.6757,1.0343358769416808
111,250,random by cluster,0.6715,1.0423743204116822
112,250,random by cluster,0.7064,1.0068872245788574
113,250,random by cluster,0.656,1.000136424446106
114,250,random by cluster,0.6894,0.9746954390525818
