,train_size,train_set_type,loss,accuracy
0,2000,diverse,0.5718593719005585,0.8025
1,2000,diverse,0.5724120966434478,0.8036
2,2000,diverse,0.593335942196846,0.8089
3,2000,diverse,0.5839530758857727,0.8031
4,2000,diverse,0.6227381915569306,0.7968
5,2000,diverse,0.5695796405792236,0.8009
6,2000,diverse,0.5643595293521881,0.8062
7,2000,diverse,0.5988563579797744,0.7968
8,2000,diverse,0.5600723895072937,0.8052
9,2000,diverse,0.5945196868658066,0.811
10,2000,similar,0.5836585218906403,0.8085
11,2000,similar,0.6017249844551087,0.8005
12,2000,similar,0.6151762089014053,0.7979
13,2000,similar,0.6372175281524658,0.793
14,2000,similar,0.6284069569587708,0.7978
15,2000,similar,0.5799365808010102,0.8015
16,2000,similar,0.6341477192878723,0.7959
17,2000,similar,0.6381836327075958,0.7838
18,2000,similar,0.5950130123138427,0.8087
19,2000,similar,0.6477455152511596,0.7894
20,2000,random,0.6065696368455887,0.8151
21,2000,random,0.6089755655288697,0.7976
22,2000,random,0.5931002324104309,0.8131
23,2000,random,0.6213232564926148,0.7859
24,2000,random,0.6006867513656616,0.7926
25,2000,random,0.5555862808227539,0.8179
26,2000,random,0.6058283601284027,0.7949
27,2000,random,0.5636227928638459,0.8079
28,2000,random,0.6136279786586761,0.7937
29,2000,random,0.5504881984710693,0.8143
0,1000,diverse,0.6811902583122253,0.7675
1,1000,diverse,0.6976153738975525,0.7656
2,1000,diverse,0.6876495494365692,0.7651
3,1000,diverse,0.672135570526123,0.7711
4,1000,diverse,0.6632137418746948,0.775
5,1000,diverse,0.6647805025100708,0.7689
6,1000,diverse,0.6782832041740418,0.769
7,1000,diverse,0.6841121088027954,0.767
8,1000,diverse,0.684621321964264,0.7741
9,1000,diverse,0.7198229213237762,0.7503
10,1000,similar,0.9765799159049988,0.7284
11,1000,similar,0.9417231555938721,0.7033
12,1000,similar,0.8715668957710266,0.7403
13,1000,similar,0.990100800037384,0.7258
14,1000,similar,0.9774369738578796,0.7091
15,1000,similar,0.8816056868553162,0.7556
16,1000,similar,0.8929876091003418,0.717
17,1000,similar,0.8550223093986511,0.7451
18,1000,similar,0.8898101899147034,0.7304
19,1000,similar,0.9446775705337525,0.7087
20,1000,random,0.7009576468944549,0.758
21,1000,random,0.7285752900123597,0.7472
22,1000,random,0.7199091153144836,0.7521
23,1000,random,0.665431610584259,0.7756
24,1000,random,0.8051566990852356,0.7189
25,1000,random,0.7057872148513794,0.7679
26,1000,random,0.6706852207183838,0.7799
27,1000,random,0.6666641512393952,0.7725
28,1000,random,0.7477961233139038,0.7624
29,1000,random,0.7005661418914795,0.7643
0,750,diverse,0.6851756997108459,0.7667
1,750,diverse,0.7870476119995117,0.728
2,750,diverse,0.713793645477295,0.7532
3,750,diverse,0.7552831764221192,0.7483
4,750,diverse,0.8354252660751342,0.7095
5,750,diverse,0.7436848237037659,0.7413
6,750,diverse,0.6756053595542908,0.7713
7,750,diverse,0.8359652685165405,0.7113
8,750,diverse,0.7797708512306213,0.724
9,750,diverse,0.7685394066810608,0.7321
10,750,similar,1.0040736310005187,0.6944
11,750,similar,1.1116825196266173,0.6983
12,750,similar,1.0621861085891724,0.7272
13,750,similar,0.9990113349914551,0.6976
14,750,similar,1.0465775848388672,0.6448
